,hr,time
0,81.0554,0.0
2,80.399,1.0
4,75.6311,2.0
6,71.9633,3.0
8,82.4886,4.0
10,80.3944,5.0
12,81.4233,6.0
14,77.8535,7.0
16,72.2137,8.0
18,75.3649,9.0
20,74.6361,10.0
22,71.9806,11.0
24,78.3582,12.0
26,77.5707,13.0
28,83.1166,14.0
30,72.6359,15.0
32,63.4161,16.0
34,79.0519,17.0
36,82.63600000000001,18.0
38,77.5453,19.0
40,80.0881,20.0
42,82.3082,21.0
44,76.1716,22.0
46,79.4869,23.0
48,78.3698,24.0
50,74.4541,25.0
52,80.8278,26.0
54,76.7313,27.0
56,82.4952,28.0
58,85.9371,29.0
60,80.8317,30.0
62,85.0868,31.0
64,75.7563,32.0
66,77.0027,33.0
68,78.6678,34.0
70,79.3394,35.0
72,85.7069,36.0
74,78.6997,37.0
76,75.3413,38.0
78,84.1018,39.0
80,85.0241,40.0
82,85.9242,41.0
84,86.9312,42.0
86,88.2908,43.0
88,86.8409,44.0
90,85.2324,45.0
92,87.1459,46.0
94,80.7659,47.0
96,81.2429,48.0
98,79.9264,49.0
100,75.8604,50.0
102,79.8411,51.0
104,77.6155,52.0
106,84.6408,53.0
108,80.4893,54.0
110,83.15299999999999,55.0
112,78.5939,56.0
114,77.3253,57.0
116,81.2352,58.0
118,75.7227,59.0
120,82.6096,60.0
122,81.0479,61.0
124,82.4688,62.0
126,86.5647,63.0
128,83.3672,64.0
130,86.6729,65.0
132,80.8964,66.0
134,83.9239,67.0
136,79.9583,68.0
138,77.0677,69.0
140,82.814,70.0
142,76.3299,71.0
144,82.7716,72.0
146,81.6033,73.0
148,84.9248,74.0
150,86.0703,75.0
152,82.6932,76.0
154,85.8253,77.0
156,77.7916,78.0
158,80.3205,79.0
160,77.3112,80.0
162,75.2386,81.0
164,80.6108,82.0
166,75.8808,83.0
168,83.3403,84.0
170,79.5607,85.0
172,78.8314,86.0
174,83.8209,87.0
176,79.4789,88.0
178,83.9094,89.0
180,76.8676,90.0
182,77.22,91.0
184,76.1488,92.0
186,72.2722,93.0
188,80.0781,94.0
190,76.6944,95.0
192,81.7937,96.0
194,79.6636,97.0
196,79.8162,98.0
198,82.338,99.0
200,75.8919,100.0
202,79.771,101.0
204,78.8314,102.0
206,78.2032,103.0
208,82.2258,104.0
210,78.5396,105.0
212,82.163,106.0
214,78.3293,107.0
216,81.0025,108.0
218,81.2542,109.0
220,70.2324,110.0
222,73.0213,111.0
224,74.1111,112.0
226,72.3219,113.0
228,79.2907,114.0
230,76.05199999999999,115.0
232,81.3388,116.0
234,80.491,117.0
236,76.7475,118.0
238,81.1507,119.0
240,75.4838,120.0
242,75.5617,121.0
244,78.3846,122.0
246,74.49,123.0
248,77.6869,124.0
250,78.7538,125.0
252,75.6698,126.0
254,82.5705,127.0
256,79.21600000000001,128.0
258,77.947,129.0
260,80.9785,130.0
262,73.2627,131.0
264,77.0406,132.0
266,77.285,133.0
268,77.5979,134.0
270,80.2222,135.0
272,77.557,136.0
274,82.62299999999999,137.0
276,78.5139,138.0
278,80.1444,139.0
280,76.4984,140.0
282,76.7506,141.0
284,81.4346,142.0
286,78.3206,143.0
288,82.7945,144.0
290,80.9416,145.0
292,81.082,146.0
294,82.6534,147.0
296,78.8121,148.0
298,83.6243,149.0
300,84.1675,150.0
302,88.6152,151.0
304,89.2494,152.0
306,85.6045,153.0
308,85.0208,154.0
310,78.0124,155.0
312,81.92,156.0
314,79.1483,157.0
316,75.0898,158.0
318,83.0641,159.0
320,80.1004,160.0
322,84.0265,161.0
324,82.115,162.0
326,79.8222,163.0
328,84.5053,164.0
330,80.4554,165.0
332,83.0378,166.0
334,77.3532,167.0
336,75.7319,168.0
338,75.7319,169.0
340,59.9322,170.0
342,59.9322,171.0
344,82.8037,172.0
346,82.4973,173.0
348,82.7659,174.0
350,79.4699,175.0
352,82.5739,176.0
354,78.9389,177.0
356,82.9342,178.0
358,81.4202,179.0
360,79.8597,180.0
362,83.3924,181.0
364,77.7603,182.0
366,82.9735,183.0
368,80.914,184.0
370,83.2532,185.0
372,84.329,186.0
374,84.4112,187.0
376,88.1338,188.0
378,83.25200000000001,189.0
380,86.15,190.0
382,83.314,191.0
384,84.5446,192.0
386,86.9161,193.0
388,86.193,194.0
390,86.3674,195.0
392,83.1643,196.0
394,86.5151,197.0
396,81.2408,198.0
398,81.9114,199.0
400,86.8527,200.0
402,84.0898,201.0
404,88.5816,202.0
406,83.3616,203.0
408,82.6402,204.0
410,83.4624,205.0
412,79.7183,206.0
414,84.3075,207.0
416,82.0343,208.0
418,81.4009,209.0
420,84.1948,210.0
422,81.8887,211.0
424,86.2765,212.0
426,82.9824,213.0
428,83.5517,214.0
430,83.8227,215.0
432,80.1282,216.0
434,83.2623,217.0
436,78.658,218.0
438,84.2724,219.0
440,82.6733,220.0
442,83.771,221.0
444,87.0577,222.0
446,80.8654,223.0
448,79.5625,224.0
450,83.8601,225.0
452,80.1203,226.0
454,85.2906,227.0
456,79.9403,228.0
458,83.2964,229.0
460,81.7697,230.0
462,78.0525,231.0
464,83.2355,232.0
466,79.4041,233.0
468,81.6235,234.0
470,84.4738,235.0
472,77.2828,236.0
474,81.5995,237.0
476,79.7041,238.0
478,81.3183,239.0
480,83.8695,240.0
482,81.7829,241.0
484,83.0206,242.0
486,78.9382,243.0
488,77.7685,244.0
490,79.6572,245.0
492,75.2333,246.0
494,82.7616,247.0
496,78.3729,248.0
498,72.8434,249.0
500,63.9729,250.0
502,79.252,251.0
504,81.8564,252.0
506,76.9047,253.0
508,82.3393,254.0
510,76.9616,255.0
512,76.5034,256.0
514,75.99,257.0
516,72.3039,258.0
518,79.8768,259.0
520,76.3227,260.0
522,81.4109,261.0
524,78.1316,262.0
526,79.6945,263.0
528,81.8651,264.0
530,76.4002,265.0
532,80.0101,266.0
534,76.6701,267.0
536,74.8754,268.0
538,78.5362,269.0
540,73.1429,270.0
542,79.87100000000001,271.0
544,78.0135,272.0
546,79.7642,273.0
548,79.5346,274.0
550,74.3052,275.0
552,77.5998,276.0
554,74.0546,277.0
556,78.4497,278.0
558,75.6513,279.0
560,78.0188,280.0
562,79.7526,281.0
564,74.9694,282.0
566,79.7179,283.0
568,78.6735,284.0
570,75.7132,285.0
572,81.2715,286.0
574,75.3026,287.0
576,75.3026,288.0
578,75.3026,289.0
580,79.5043,290.0
582,82.2205,291.0
584,78.4632,292.0
586,82.3446,293.0
588,78.1656,294.0
590,73.7497,295.0
592,78.3469,296.0
594,75.9822,297.0
596,81.4061,298.0
598,80.6309,299.0
600,79.0143,300.0
602,84.4614,301.0
604,77.7551,302.0
606,82.1448,303.0
608,82.1448,304.0
610,87.3898,305.0
612,90.6553,306.0
614,93.4176,307.0
616,89.6009,308.0
618,91.4681,309.0
620,93.3603,310.0
622,92.6879,311.0
624,97.1401,312.0
626,95.2869,313.0
628,87.1083,314.0
630,94.2316,315.0
632,82.5384,316.0
634,81.1889,317.0
636,82.8859,318.0
638,76.6642,319.0
640,79.1867,320.0
642,83.3277,321.0
644,86.1491,322.0
646,89.40700000000001,323.0
648,80.9548,324.0
650,75.2683,325.0
652,75.6194,326.0
654,74.8683,327.0
656,82.7571,328.0
658,75.803,329.0
660,71.9418,330.0
662,82.4817,331.0
664,81.852,332.0
666,75.5799,333.0
668,82.2632,334.0
670,77.4353,335.0
672,75.2479,336.0
674,81.453,337.0
676,75.4978,338.0
678,74.6531,339.0
680,80.6003,340.0
682,75.4674,341.0
684,76.3125,342.0
686,77.2791,343.0
688,72.6199,344.0
690,76.83,345.0
692,76.83,346.0
694,90.0187,347.0
696,82.5032,348.0
698,85.6854,349.0
700,77.7104,350.0
702,72.9456,351.0
704,73.2977,352.0
706,70.6083,353.0
708,77.6621,354.0
710,78.7003,355.0
712,89.0228,356.0
714,85.1116,357.0
716,77.0913,358.0
718,74.1441,359.0
720,67.1128,360.0
722,66.8562,361.0
724,70.602,362.0
726,66.0693,363.0
728,71.5594,364.0
730,74.7477,365.0
732,70.89699999999999,366.0
734,83.6898,367.0
736,79.8937,368.0
738,79.4967,369.0
740,81.3307,370.0
742,73.9709,371.0
744,77.1025,372.0
746,75.6843,373.0
748,69.3815,374.0
750,73.4588,375.0
752,76.7727,376.0
754,71.5551,377.0
756,72.8509,378.0
758,76.7157,379.0
760,70.3121,380.0
