,Unnamed: 0,ID,volume,earning,holding,session
1,0,M1,100.0,22565,4,2
2,1,M2,16.0,24895,0,2
3,2,M3,66.0,22180,14,2
4,3,M4,98.0,26685,40,2
5,4,M5,79.0,24245,39,2
6,5,M6,101.0,20745,15,2
7,6,M7,88.0,25760,6,2
8,7,M8,76.0,23325,10,2
