,Unnamed: 0,Unnamed: 0.1,account,email,owner_x_x,marketplace,session,period,periodOrig,market,target,order_x_x,original,supplier,consumer_x,type,side,units,price,createdDate,lastModifiedDate,16. just time,17. just second,trade_x_x,fair value,trade price,mispricing,time secs,buy/sell_x_x,vol1,vol2,vol3,vol4,vol5,vol6,vol7,vol8,owner_y,order_y,consumer_y,trade_y,buy/sell_y,owner_x_y,order_x_y,trade_x_y,buy/sell_x_y,mispricing_1_v2,mispricing_2_v2,mispricing_3_v2,mispricing_4_v2,mispricing_5_v2,mispricing_6_v2,mispricing_7_v2,mispricing_8_v2,s1 holding_v2,s2 holding_v2,s3 holding_v2,s4 holding_v2,s5 holding_v2,s6 holding_v2,s7 holding_v2,s8 holding_v2,s1 cash_v2,s2 cash_v2,s3 cash_v2,s4 cash_v2,s5 cash_v2,s6 cash_v2,s7 cash_v2,s8 cash_v2,Best Price,Asset Value_market_v2_S1,Asset Value_market_v2_S2,Asset Value_market_v2_S3,Asset Value_market_v2_S4,Asset Value_market_v2_S5,Asset Value_market_v2_S6,Asset Value_market_v2_S7,Asset Value_market_v2_S8,tradetime_x,ask,bid,spread
0,0,0,limpid-josh,M4@bmm,4,1280,32669,1,32669,2236,,19835155,19835155,19835155,,LIMIT,SELL,1,1000,2021-05-26T07:29:17.278,2021-05-26T07:29:17.284,07:29:17.278,07:29:17,0,750,0,,0.0,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0.0,1000.0,,
1,1,1,limpid-josh,M8@bmm,8,1280,32669,1,32669,2236,,19835156,19835156,19835156,19835253.0,LIMIT,BUY,1,25,2021-05-26T07:29:19.325,2021-05-26T07:32:36.893,07:29:19.325,07:29:19,0,750,0,,2.0469999999999997,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,2.0469999999999997,1000.0,25.0,975.0
2,2,2,limpid-josh,M2@bmm,2,1280,32669,1,32669,2236,,19835157,19835157,19835157,19835163.0,LIMIT,BUY,1,585,2021-05-26T07:29:25.053,2021-05-26T07:29:35.372,07:29:25.053,07:29:25,0,750,0,,7.775,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,7.775,1000.0,585.0,415.0
3,3,3,limpid-josh,M4@bmm,4,1280,32669,1,32669,2236,,19835158,19835158,19835158,,LIMIT,SELL,1,790,2021-05-26T07:29:26.035,2021-05-26T07:29:26.038,07:29:26.035,07:29:26,0,750,0,,8.757,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,8.757,790.0,585.0,205.0
4,4,4,limpid-josh,M3@bmm,3,1280,32669,1,32669,2236,,19835159,19835159,19835159,,LIMIT,SELL,1,905,2021-05-26T07:29:26.867,2021-05-26T07:29:26.870,07:29:26.867,07:29:26,0,750,0,,9.589,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,9.589,790.0,585.0,205.0
5,5,5,limpid-josh,M1@bmm,1,1280,32669,1,32669,2236,,19835160,19835160,19835160,,LIMIT,BUY,1,335,2021-05-26T07:29:27.014,2021-05-26T07:29:27.016,07:29:27.014,07:29:27,0,750,0,,9.736,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,9.736,790.0,585.0,205.0
6,6,6,limpid-josh,M6@bmm,6,1280,32669,1,32669,2236,,19835161,19835161,19835161,19835168.0,LIMIT,BUY,1,80,2021-05-26T07:29:27.142,2021-05-26T07:29:43.506,07:29:27.142,07:29:27,0,750,0,,9.863999999999999,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,9.863999999999999,790.0,585.0,205.0
7,7,7,limpid-josh,M8@bmm,8,1280,32669,1,32669,2236,,19835162,19835162,19835162,19835216.0,LIMIT,SELL,1,745,2021-05-26T07:29:31.723,2021-05-26T07:31:21.809,07:29:31.723,07:29:31,0,750,0,,14.445,-1,0,0,0,0,0,0,0,0,7.0,19835216.0,19835162.0,1.0,1.0,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,14.445,745.0,585.0,160.0
8,8,8,limpid-josh,M2@bmm,2,1280,32669,1,32669,2236,,19835163,19835157,19835163,19835157.0,CANCEL,BUY,1,585,2021-05-26T07:29:35.365,2021-05-26T07:29:35.371,07:29:35.365,07:29:35,0,750,0,,18.087,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,18.087,745.0,585.0,160.0
9,9,9,limpid-josh,M7@bmm,7,1280,32669,1,32669,2236,,19835164,19835164,19835164,,LIMIT,SELL,1,950,2021-05-26T07:29:35.908,2021-05-26T07:29:35.911,07:29:35.908,07:29:35,0,750,0,,18.63,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,18.63,745.0,335.0,410.0
