,Unnamed: 0,Unnamed: 0.1,account,email,owner_x_x,marketplace,session,period,periodOrig,market,target,order_x_x,original,supplier,consumer_x,type,side,units,price,createdDate,lastModifiedDate,16. just time,17. just second,trade_x_x,fair value,trade price,mispricing,time secs,buy/sell_x_x,vol1,vol2,vol3,vol4,vol5,vol6,vol7,vol8,owner_y,order_y,consumer_y,trade_y,buy/sell_y,owner_x_y,order_x_y,trade_x_y,buy/sell_x_y,mispricing_1_v2,mispricing_2_v2,mispricing_3_v2,mispricing_4_v2,mispricing_5_v2,mispricing_6_v2,mispricing_7_v2,mispricing_8_v2,s1 holding_v2,s2 holding_v2,s3 holding_v2,s4 holding_v2,s5 holding_v2,s6 holding_v2,s7 holding_v2,s8 holding_v2,s1 cash_v2,s2 cash_v2,s3 cash_v2,s4 cash_v2,s5 cash_v2,s6 cash_v2,s7 cash_v2,s8 cash_v2,Best Price,Asset Value_market_v2_S1,Asset Value_market_v2_S2,Asset Value_market_v2_S3,Asset Value_market_v2_S4,Asset Value_market_v2_S5,Asset Value_market_v2_S6,Asset Value_market_v2_S7,Asset Value_market_v2_S8,tradetime_x,ask,bid,spread
0,0,0,limpid-josh,M1@bmm,1,1280,32686,1,32686,2236,,19837277,19837277,19837277,19837372.0,LIMIT,BUY,1,450,2021-05-27T07:00:29.323,2021-05-27T07:03:39.578,00:29.3,07:00:29,0,750,0,,0.0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0.0,,450.0,
1,1,1,limpid-josh,M1@bmm,1,1280,32686,1,32686,2236,,19837278,19837278,19837278,19837371.0,LIMIT,BUY,1,450,2021-05-27T07:00:29.468,2021-05-27T07:03:37.450,00:29.5,07:00:29,0,750,0,,0.145,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0.145,,450.0,
2,2,2,limpid-josh,M1@bmm,1,1280,32686,1,32686,2236,,19837279,19837279,19837279,19837369.0,LIMIT,BUY,1,450,2021-05-27T07:00:29.481,2021-05-27T07:03:36.775,00:29.5,07:00:29,0,750,0,,0.158,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0.158,,450.0,
3,3,3,limpid-josh,M1@bmm,1,1280,32686,1,32686,2236,,19837280,19837280,19837280,,LIMIT,SELL,1,800,2021-05-27T07:00:42.364,2021-05-27T07:00:42.368,00:42.4,07:00:42,0,750,0,,13.040999999999999,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,13.040999999999999,800.0,450.0,350.0
4,4,4,limpid-josh,M1@bmm,1,1280,32686,1,32686,2236,,19837281,19837281,19837281,,LIMIT,SELL,1,800,2021-05-27T07:00:43.410,2021-05-27T07:00:43.414,00:43.4,07:00:43,0,750,0,,14.087,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,14.087,800.0,450.0,350.0
5,5,5,limpid-josh,M1@bmm,1,1280,32686,1,32686,2236,,19837282,19837282,19837282,,LIMIT,SELL,1,800,2021-05-27T07:00:43.777,2021-05-27T07:00:43.780,00:43.8,07:00:43,0,750,0,,14.454,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,14.454,800.0,450.0,350.0
6,6,6,limpid-josh,M2@bmm,2,1280,32686,1,32686,2236,,19837283,19837283,19837283,19837399.0,LIMIT,SELL,1,840,2021-05-27T07:00:46.351,2021-05-27T07:04:43.701,00:46.4,07:00:46,0,750,0,,17.028,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,17.028,800.0,450.0,350.0
7,7,7,limpid-josh,M4@bmm,4,1280,32686,1,32686,2236,,19837284,19837284,19837284,19837304.0,LIMIT,SELL,1,700,2021-05-27T07:00:50.983,2021-05-27T07:01:35.700,00:51.0,07:00:50,0,750,0,,21.66,-1,0,0,0,0,0,0,0,0,5.0,19837304.0,19837284.0,1.0,1.0,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,21.66,700.0,450.0,250.0
8,8,8,limpid-josh,M4@bmm,4,1280,32686,1,32686,2236,,19837285,19837285,19837285,19837375.0,LIMIT,SELL,1,700,2021-05-27T07:00:52.190,2021-05-27T07:03:40.179,00:52.2,07:00:52,0,750,0,,22.866999999999997,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,22.866999999999997,700.0,450.0,250.0
9,9,9,limpid-josh,M8@bmm,8,1280,32686,1,32686,2236,,19837286,19837286,19837286,19837289.0,LIMIT,BUY,1,540,2021-05-27T07:00:58.450,2021-05-27T07:01:01.472,00:58.4,07:00:58,0,750,0,,29.127,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,29.127,700.0,540.0,160.0
