account,email,owner,marketplace,session,period,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,16. just time,17. just second,,trade,fair value,trade price,mispricing,time mins,time secs,buy/sell
pert-josh,M6@bmm,6,288,6557,1,567,NULL,1252084,1252084,1252084,1252087,LIMIT,SELL,1,685,2018-08-24T07:41:58.002,2018-08-24T07:42:10.591,,41:58.0,07:41:58,0,750,#N/A,#N/A,00:00:00,0,-1
pert-josh,M7@bmm,7,288,6557,1,567,NULL,1252087,1252087,1252087,1252084,LIMIT,BUY,1,685,2018-08-24T07:42:10.586,2018-08-24T07:42:10.591,,42:10.6,07:42:10,1,750,685,-65,00:00:13,12.584,1
pert-josh,M6@bmm,6,288,6557,1,567,NULL,1252088,1252088,1252088,NULL,LIMIT,BUY,1,365,2018-08-24T07:42:10.796,2018-08-24T07:42:10.798,,42:10.8,07:42:10,0,750,#N/A,#N/A,00:00:13,12.794,1
pert-josh,M3@bmm,3,288,6557,1,567,NULL,1252089,1252089,1252089,NULL,LIMIT,BUY,1,500,2018-08-24T07:42:10.902,2018-08-24T07:42:10.904,,42:10.9,07:42:10,0,750,#N/A,#N/A,00:00:13,12.9,1
pert-josh,M8@bmm,8,288,6557,1,567,NULL,1252090,1252090,1252090,1252093,LIMIT,SELL,1,605,2018-08-24T07:42:11.726,2018-08-24T07:42:15.736,,42:11.7,07:42:11,0,750,#N/A,#N/A,00:00:14,13.724,-1
pert-josh,M4@bmm,4,288,6557,1,567,NULL,1252092,1252092,1252092,0,LIMIT,BUY,1,700,2018-08-24T07:42:15.729,2018-08-24T07:42:15.735,,42:15.7,07:42:15,0,750,#N/A,#N/A,00:00:18,17.727,1
pert-josh,M4@bmm,4,288,6557,1,567,NULL,1252093,1252092,1252092,1252090,LIMIT,BUY,1,605,2018-08-24T07:42:15.733,2018-08-24T07:42:15.736,,42:15.7,07:42:15,1,750,605,-145,00:00:18,17.731,1
pert-josh,M2@bmm,2,288,6557,1,567,NULL,1252094,1252094,1252094,1252170,LIMIT,SELL,1,765,2018-08-24T07:42:17.127,2018-08-24T07:43:27.810,,42:17.1,07:42:17,0,750,#N/A,#N/A,00:00:19,19.125,-1
pert-josh,M2@bmm,2,288,6557,1,567,NULL,1252096,1252096,1252096,1252127,LIMIT,SELL,1,765,2018-08-24T07:42:17.605,2018-08-24T07:42:45.578,,42:17.6,07:42:17,0,750,#N/A,#N/A,00:00:20,19.603,-1
pert-josh,M1@bmm,1,288,6557,1,567,NULL,1252098,1252098,1252098,1252117,LIMIT,SELL,1,700,2018-08-24T07:42:18.538,2018-08-24T07:42:33.832,,42:18.5,07:42:18,0,750,#N/A,#N/A,00:00:21,20.536,-1
pert-josh,M3@bmm,3,288,6557,1,567,NULL,1252100,1252100,1252100,1252102,LIMIT,SELL,1,665,2018-08-24T07:42:21.748,2018-08-24T07:42:21.938,,42:21.7,07:42:21,0,750,#N/A,#N/A,00:00:24,23.746,-1
pert-josh,M4@bmm,4,288,6557,1,567,NULL,1252101,1252101,1252101,0,LIMIT,BUY,1,700,2018-08-24T07:42:21.931,2018-08-24T07:42:21.938,,42:21.9,07:42:21,0,750,#N/A,#N/A,00:00:24,23.929,1
pert-josh,M4@bmm,4,288,6557,1,567,NULL,1252102,1252101,1252101,1252100,LIMIT,BUY,1,665,2018-08-24T07:42:21.935,2018-08-24T07:42:21.938,,42:21.9,07:42:21,1,750,665,-85,00:00:24,23.933,1
pert-josh,M6@bmm,6,288,6557,1,567,NULL,1252103,1252103,1252103,NULL,LIMIT,BUY,1,295,2018-08-24T07:42:22.140,2018-08-24T07:42:22.142,,42:22.1,07:42:22,0,750,#N/A,#N/A,00:00:24,24.138,1
pert-josh,M6@bmm,6,288,6557,1,567,NULL,1252107,1252107,1252107,1252142,LIMIT,SELL,1,735,2018-08-24T07:42:29.429,2018-08-24T07:43:05.370,,42:29.4,07:42:29,0,750,#N/A,#N/A,00:00:31,31.427,-1
pert-josh,M5@bmm,5,288,6557,1,567,NULL,1252110,1252110,1252110,NULL,LIMIT,BUY,1,500,2018-08-24T07:42:30.290,2018-08-24T07:42:30.293,,42:30.3,07:42:30,0,750,#N/A,#N/A,00:00:32,32.288,1
