account,email,owner,marketplace,session,period,periodOrig,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,16. just time,17. just second,trade,fair value,trade price,mispricing,time secs,buy/sell,vol1,vol2,vol3,vol4,vol5,vol6,vol7,vol8
limpid-josh,M8@bmm,8045,1280,32669,1,32669,2236,NULL,19835178,19835178,19835178,19835207,LIMIT,SELL,1,715,2021-05-26T07:30:07.744,2021-05-26T07:30:59.175,07:30:07.744,07:30:07,0,750,0,#N/A,50.466,-1,0,0,0,0,0,0,0,0
limpid-josh,M6@bmm,8043,1280,32669,1,32669,2236,NULL,19835179,19835179,19835179,0,LIMIT,BUY,1,590,2021-05-26T07:30:09.037,2021-05-26T07:30:09.046,07:30:09.037,07:30:09,0,750,0,#N/A,51.759,1,0,0,0,0,0,0,0,0
limpid-josh,M6@bmm,8043,1280,32669,1,32669,2236,NULL,19835180,19835179,19835179,19835175,LIMIT,BUY,1,525,2021-05-26T07:30:09.043,2021-05-26T07:30:09.046,07:30:09.043,07:30:09,1,750,525,-225,51.765,1,0,0,0,0,0,1,0,0
limpid-josh,M5@bmm,8042,1280,32669,1,32669,2236,NULL,19835181,19835181,19835181,19835182,LIMIT,BUY,1,560,2021-05-26T07:30:10.568,2021-05-26T07:30:13.803,07:30:10.568,07:30:10,0,750,0,#N/A,53.29,1,0,0,0,0,0,0,0,0
limpid-josh,M5@bmm,8042,1280,32669,1,32669,2236,NULL,19835182,19835181,19835182,19835181,CANCEL,BUY,1,560,2021-05-26T07:30:13.797,2021-05-26T07:30:13.803,07:30:13.797,07:30:13,0,750,0,#N/A,56.519,1,0,0,0,0,0,0,0,0
limpid-josh,M2@bmm,8039,1280,32669,1,32669,2236,NULL,19835183,19835183,19835183,19835185,LIMIT,SELL,1,525,2021-05-26T07:30:14.117,2021-05-26T07:30:16.687,07:30:14.117,07:30:14,0,750,0,#N/A,56.839,-1,0,0,0,0,0,0,0,0
limpid-josh,M3@bmm,8040,1280,32669,1,32669,2236,NULL,19835184,19835184,19835184,0,LIMIT,BUY,1,530,2021-05-26T07:30:16.678,2021-05-26T07:30:16.687,07:30:16.678,07:30:16,0,750,0,#N/A,59.4,1,0,0,0,0,0,0,0,0
limpid-josh,M3@bmm,8040,1280,32669,1,32669,2236,NULL,19835185,19835184,19835184,19835183,LIMIT,BUY,1,525,2021-05-26T07:30:16.684,2021-05-26T07:30:16.687,07:30:16.684,07:30:16,1,750,525,-225,59.406,1,0,0,1,0,0,0,0,0
limpid-josh,M5@bmm,8042,1280,32669,1,32669,2236,NULL,19835186,19835186,19835186,19835191,LIMIT,BUY,1,560,2021-05-26T07:30:16.981,2021-05-26T07:30:27.420,07:30:16.981,07:30:16,0,750,0,#N/A,59.703,1,0,0,0,0,0,0,0,0
limpid-josh,M6@bmm,8043,1280,32669,1,32669,2236,NULL,19835187,19835187,19835187,NULL,LIMIT,BUY,1,590,2021-05-26T07:30:17.106,2021-05-26T07:30:17.108,07:30:17.106,07:30:17,0,750,0,#N/A,59.828,1,0,0,0,0,0,0,0,0
limpid-josh,M6@bmm,8043,1280,32669,1,32669,2236,NULL,19835188,19835188,19835188,19835193,LIMIT,BUY,1,590,2021-05-26T07:30:21.804,2021-05-26T07:30:27.844,07:30:21.804,07:30:21,0,750,0,#N/A,64.526,1,0,0,0,0,0,0,0,0
limpid-josh,M7@bmm,8044,1280,32669,1,32669,2236,NULL,19835189,19835189,19835189,19835236,LIMIT,SELL,1,775,2021-05-26T07:30:21.936,2021-05-26T07:32:06.763,07:30:21.936,07:30:21,0,750,0,#N/A,64.658,-1,0,0,0,0,0,0,0,0
limpid-josh,M6@bmm,8043,1280,32669,1,32669,2236,NULL,19835190,19835177,19835190,19835177,CANCEL,BUY,1,510,2021-05-26T07:30:26.005,2021-05-26T07:30:26.011,07:30:26.005,07:30:26,0,750,0,#N/A,68.727,1,0,0,0,0,0,0,0,0
limpid-josh,M5@bmm,8042,1280,32669,1,32669,2236,NULL,19835191,19835186,19835191,19835186,CANCEL,BUY,1,560,2021-05-26T07:30:27.413,2021-05-26T07:30:27.420,07:30:27.413,07:30:27,0,750,0,#N/A,70.135,1,0,0,0,0,0,0,0,0
limpid-josh,M5@bmm,8042,1280,32669,1,32669,2236,NULL,19835192,19835186,19835192,19835192,CANCEL,BUY,1,560,2021-05-26T07:30:27.672,2021-05-26T07:30:27.678,07:30:27.672,07:30:27,0,750,0,#N/A,70.394,1,0,0,0,0,0,0,0,0
limpid-josh,M6@bmm,8043,1280,32669,1,32669,2236,NULL,19835193,19835188,19835193,19835188,CANCEL,BUY,1,590,2021-05-26T07:30:27.837,2021-05-26T07:30:27.844,07:30:27.837,07:30:27,0,750,0,#N/A,70.559,1,0,0,0,0,0,0,0,0
