,hr,time
0,85.3333,0.0
2,85.3333,1.0
4,91.0103,2.0
6,95.0091,3.0
8,92.6115,4.0
10,91.9539,5.0
12,94.0544,6.0
14,89.2076,7.0
16,89.4395,8.0
18,93.9862,9.0
20,92.2561,10.0
22,93.0556,11.0
24,96.1267,12.0
26,92.0204,13.0
28,90.4792,14.0
30,92.5749,15.0
32,91.0438,16.0
34,92.755,17.0
36,94.706,18.0
38,94.3681,19.0
40,95.0909,20.0
42,93.8218,21.0
44,91.3067,22.0
46,95.9191,23.0
48,94.9592,24.0
50,93.4012,25.0
52,95.5963,26.0
54,93.0297,27.0
56,93.2941,28.0
58,92.7802,29.0
60,88.5163,30.0
62,92.228,31.0
64,92.0547,32.0
66,89.7504,33.0
68,92.0537,34.0
70,89.3267,35.0
72,89.4503,36.0
74,91.0654,37.0
76,88.3687,38.0
78,88.3687,39.0
80,83.8527,40.0
82,83.3741,41.0
84,85.9334,42.0
86,89.0952,43.0
88,81.5797,44.0
90,82.3509,45.0
92,84.9016,46.0
94,91.7616,47.0
96,89.0206,48.0
98,90.5096,49.0
100,86.4588,50.0
102,81.2789,51.0
104,83.6847,52.0
106,84.9915,53.0
108,90.5969,54.0
110,93.7875,55.0
112,84.3977,56.0
114,82.8414,57.0
116,84.1406,58.0
118,78.3855,59.0
120,75.5571,60.0
122,84.7349,61.0
124,84.2555,62.0
126,83.4007,63.0
128,87.6973,64.0
130,83.0928,65.0
132,80.9214,66.0
134,81.9883,67.0
136,72.7595,68.0
138,79.2951,69.0
140,82.9531,70.0
142,80.6979,71.0
144,81.4467,72.0
146,84.1989,73.0
148,85.23100000000001,74.0
150,87.88600000000001,75.0
152,91.8179,76.0
154,91.8179,77.0
156,91.8179,78.0
158,80.3593,79.0
160,75.9152,80.0
162,82.866,81.0
164,85.3973,82.0
166,80.7431,83.0
168,84.8636,84.0
170,89.1977,85.0
172,89.1282,86.0
174,86.9726,87.0
176,87.7262,88.0
178,97.3158,89.0
180,95.3416,90.0
182,96.31299999999999,91.0
184,94.2708,92.0
186,94.2708,93.0
188,81.1773,94.0
190,84.9533,95.0
192,85.571,96.0
194,88.5559,97.0
196,87.5543,98.0
198,83.7493,99.0
200,83.6516,100.0
202,87.0668,101.0
204,84.3966,102.0
206,86.1432,103.0
208,88.37700000000001,104.0
210,81.7665,105.0
212,85.2604,106.0
214,84.0413,107.0
216,80.0322,108.0
218,86.4449,109.0
220,89.4557,110.0
222,92.8074,111.0
224,97.1141,112.0
226,94.2288,113.0
228,94.5789,114.0
230,93.7355,115.0
232,91.9077,116.0
234,96.574,117.0
236,94.9195,118.0
238,94.4527,119.0
240,95.725,120.0
242,91.5878,121.0
244,88.6144,122.0
246,93.2721,123.0
248,91.8744,124.0
250,89.094,125.0
252,91.2256,126.0
254,87.0466,127.0
256,87.0466,128.0
258,82.7193,129.0
260,79.26899999999999,130.0
262,77.3302,131.0
264,82.3243,132.0
266,81.14,133.0
268,80.5195,134.0
270,87.5313,135.0
272,89.0435,136.0
274,85.8099,137.0
276,90.256,138.0
278,85.8713,139.0
280,76.5041,140.0
282,81.9637,141.0
284,85.8196,142.0
286,85.3333,143.0
288,84.3737,144.0
290,83.5548,145.0
292,81.1132,146.0
294,86.6808,147.0
296,92.2759,148.0
298,90.1206,149.0
300,87.7714,150.0
302,88.7879,151.0
304,83.5369,152.0
306,83.5369,153.0
308,94.0416,154.0
310,84.3571,155.0
312,82.6748,156.0
314,85.8688,157.0
316,70.5945,158.0
318,77.4637,159.0
320,82.2693,160.0
322,81.7138,161.0
324,85.4956,162.0
326,84.5979,163.0
328,84.0093,164.0
330,87.7714,165.0
332,86.3747,166.0
334,90.4973,167.0
336,96.2503,168.0
338,96.2503,169.0
340,96.6336,170.0
342,90.6083,171.0
344,75.2157,172.0
346,88.8953,173.0
348,89.6902,174.0
350,90.12799999999999,175.0
352,94.8351,176.0
354,94.2284,177.0
356,90.3972,178.0
358,96.1123,179.0
360,97.7133,180.0
362,95.0633,181.0
364,91.9899,182.0
366,89.3912,183.0
368,83.8593,184.0
370,88.194,185.0
372,86.7118,186.0
374,72.6836,187.0
376,71.4723,188.0
378,79.4878,189.0
380,77.9417,190.0
382,81.7409,191.0
384,84.2127,192.0
386,78.9392,193.0
388,79.2578,194.0
390,81.2542,195.0
392,81.4745,196.0
394,79.4315,197.0
396,82.8498,198.0
398,79.7573,199.0
400,85.2521,200.0
402,92.3881,201.0
404,90.4232,202.0
406,88.4832,203.0
408,84.4333,204.0
410,84.4333,205.0
412,82.7252,206.0
414,86.1115,207.0
416,84.8374,208.0
418,89.9617,209.0
420,91.9569,210.0
422,87.8958,211.0
424,87.9182,212.0
426,88.4696,213.0
428,82.9875,214.0
430,78.1025,215.0
432,82.7385,216.0
434,85.5107,217.0
436,87.0314,218.0
438,90.6997,219.0
440,90.2686,220.0
442,80.7335,221.0
444,82.3693,222.0
446,87.2523,223.0
448,85.3474,224.0
450,87.3525,225.0
452,91.3079,226.0
454,88.9524,227.0
456,94.4401,228.0
458,96.2576,229.0
460,109.49700000000001,230.0
462,97.1535,231.0
464,91.2452,232.0
466,90.0831,233.0
468,92.7411,234.0
470,90.8112,235.0
472,93.624,236.0
474,94.9859,237.0
476,93.1846,238.0
