,Unnamed: 0,Unnamed: 0.1,account,email,owner_x_x,marketplace,session,period,market,target,order_x_x,original,supplier,consumer_x,type,side,units,price,createdDate,lastModifiedDate,16. just time,17. just second,Unnamed: 20,trade_x_x,fair value,trade price,mispricing,time mins,time secs,buy/sell_x_x,owner_y,order_y,consumer_y,trade_y,buy/sell_y,owner_x_y,order_x_y,trade_x_y,buy/sell_x_y,mispricing_1_v2,mispricing_2_v2,mispricing_3_v2,mispricing_4_v2,mispricing_5_v2,mispricing_6_v2,mispricing_7_v2,mispricing_8_v2,s1 holding_v2,s2 holding_v2,s3 holding_v2,s4 holding_v2,s5 holding_v2,s6 holding_v2,s7 holding_v2,s8 holding_v2,s1 cash_v2,s2 cash_v2,s3 cash_v2,s4 cash_v2,s5 cash_v2,s6 cash_v2,s7 cash_v2,s8 cash_v2,Best Price,Asset Value_market_v2_S1,Asset Value_market_v2_S2,Asset Value_market_v2_S3,Asset Value_market_v2_S4,Asset Value_market_v2_S5,Asset Value_market_v2_S6,Asset Value_market_v2_S7,Asset Value_market_v2_S8,tradetime_x,ask,bid,spread
0,0,0,pert-josh,M1@bmm,1,433,8610,1,814,,2815923,2815923,2815923,2815924.0,LIMIT,BUY,1,610,2019-03-29T03:56:22.758,2019-03-29T03:56:30.607,,03:56:22.758,03:56:22.758,0,750,,,00:00:00,0.0,1,3.0,2815924.0,2815923.0,1.0,-1.0,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,610.0,22200.0,23320.0,22200.0,23320.0,28200.0,23320.0,22200.0,23320.0,0.0,,610.0,
1,1,1,pert-josh,M3@bmm,3,433,8610,1,814,,2815924,2815924,2815924,2815923.0,LIMIT,SELL,1,610,2019-03-29T03:56:30.601,2019-03-29T03:56:30.607,,03:56:30.601,03:56:30.601,1,750,610.0,-140.0,00:00:08,7.843,-1,,,,,,1.0,2815923.0,0.0,1.0,-140.0,,-140.0,,,,,,21.0,12.0,19.0,12.0,20.0,12.0,20.0,12.0,9390.0,16000.0,10610.0,16000.0,16000.0,16000.0,10000.0,16000.0,610.0,22200.0,23320.0,22200.0,23320.0,28200.0,23320.0,22200.0,23320.0,7.843,,610.0,
2,2,2,pert-josh,M5@bmm,5,433,8610,1,814,,2815928,2815927,2815927,2815921.0,LIMIT,SELL,1,510,2019-03-29T03:56:33.941,2019-03-29T03:56:33.946,,03:56:33.941,03:56:33.941,1,750,510.0,-240.0,00:00:11,11.183,-1,,,,,,,,,,,,,,-240.0,,,,21.0,12.0,19.0,12.0,19.0,12.0,20.0,12.0,9390.0,16000.0,10610.0,16000.0,16510.0,16000.0,10000.0,16000.0,510.0,20100.0,22120.0,20300.0,22120.0,26200.0,22120.0,20200.0,22120.0,11.183,,510.0,
3,3,3,pert-josh,M8@bmm,8,433,8610,1,814,,2815929,2815929,2815929,2815930.0,LIMIT,SELL,1,510,2019-03-29T03:56:43.082,2019-03-29T03:56:43.096,,03:56:43.082,03:56:43.082,0,750,,,00:00:20,20.324,-1,6.0,2815930.0,2815929.0,1.0,1.0,,,,,,,,,,,,,21.0,12.0,19.0,12.0,19.0,12.0,20.0,12.0,9390.0,16000.0,10610.0,16000.0,16510.0,16000.0,10000.0,16000.0,510.0,20100.0,22120.0,20300.0,22120.0,26200.0,22120.0,20200.0,22120.0,20.324,510.0,510.0,0.0
4,4,4,pert-josh,M6@bmm,6,433,8610,1,814,,2815930,2815926,2815926,2815929.0,LIMIT,BUY,1,510,2019-03-29T03:56:43.089,2019-03-29T03:56:43.096,,03:56:43.089,03:56:43.089,1,750,510.0,-240.0,00:00:20,20.331,1,,,,,,8.0,2815929.0,0.0,-1.0,,,,,,-240.0,,-240.0,21.0,12.0,19.0,12.0,19.0,13.0,20.0,11.0,9390.0,16000.0,10610.0,16000.0,16510.0,15490.0,10000.0,16510.0,510.0,20100.0,22120.0,20300.0,22120.0,26200.0,22120.0,20200.0,22120.0,20.331,510.0,510.0,0.0
5,5,5,pert-josh,M6@bmm,6,433,8610,1,814,,2815931,2815926,2815926,2815934.0,LIMIT,BUY,1,510,2019-03-29T03:56:32.482,2019-03-29T03:56:48.344,,03:56:32.482,03:56:32.482,0,750,,,00:00:10,9.724,1,8.0,2815934.0,2815931.0,1.0,-1.0,,,,,,,,,,,,,21.0,12.0,19.0,12.0,19.0,13.0,20.0,11.0,9390.0,16000.0,10610.0,16000.0,16510.0,15490.0,10000.0,16510.0,510.0,20100.0,22120.0,20300.0,22120.0,26200.0,22120.0,20200.0,22120.0,9.724,,510.0,
6,6,6,pert-josh,M4@bmm,4,433,8610,1,814,,2815932,2815932,2815932,2815936.0,LIMIT,SELL,1,535,2019-03-29T03:56:44.524,2019-03-29T03:56:53.061,,03:56:44.524,03:56:44.524,0,750,,,00:00:22,21.766,-1,5.0,2815936.0,2815932.0,1.0,1.0,,,,,,,,,,,,,21.0,12.0,19.0,12.0,19.0,13.0,20.0,11.0,9390.0,16000.0,10610.0,16000.0,16510.0,15490.0,10000.0,16510.0,510.0,20100.0,22120.0,20300.0,22120.0,26200.0,22120.0,20200.0,22120.0,21.766,535.0,510.0,25.0
7,7,7,pert-josh,M8@bmm,8,433,8610,1,814,,2815934,2815934,2815934,2815931.0,LIMIT,SELL,1,510,2019-03-29T03:56:48.338,2019-03-29T03:56:48.344,,03:56:48.338,03:56:48.338,1,750,510.0,-240.0,00:00:26,25.58,-1,,,,,,6.0,2815931.0,0.0,1.0,,,,,,-240.0,,-240.0,21.0,12.0,19.0,12.0,19.0,14.0,20.0,10.0,9390.0,16000.0,10610.0,16000.0,16510.0,14980.0,10000.0,17020.0,510.0,20100.0,22120.0,20300.0,22120.0,26200.0,22120.0,20200.0,22120.0,25.58,535.0,510.0,25.0
8,8,8,pert-josh,M5@bmm,5,433,8610,1,814,,2815936,2815936,2815936,2815932.0,LIMIT,BUY,1,535,2019-03-29T03:56:53.055,2019-03-29T03:56:53.061,,03:56:53.055,03:56:53.055,1,750,535.0,-215.0,00:00:30,30.296999999999997,1,,,,,,4.0,2815932.0,0.0,-1.0,,,,-215.0,-215.0,,,,21.0,12.0,19.0,11.0,20.0,14.0,20.0,10.0,9390.0,16000.0,10610.0,16535.0,15975.0,14980.0,10000.0,17020.0,535.0,20625.0,22420.0,20775.0,22420.0,26675.0,22470.0,20700.0,22370.0,30.296999999999997,535.0,510.0,25.0
9,9,9,pert-josh,M8@bmm,8,433,8610,1,814,,2815937,2815937,2815937,2815938.0,LIMIT,SELL,1,510,2019-03-29T03:56:57.702,2019-03-29T03:56:57.715,,03:56:57.702,03:56:57.702,0,750,,,00:00:35,34.944,-1,6.0,2815938.0,2815937.0,1.0,1.0,,,,,,,,,,,,,21.0,12.0,19.0,11.0,20.0,14.0,20.0,10.0,9390.0,16000.0,10610.0,16535.0,15975.0,14980.0,10000.0,17020.0,510.0,20100.0,22120.0,20300.0,22145.0,26175.0,22120.0,20200.0,22120.0,34.944,510.0,510.0,0.0
