,hr,time
0,80.8421,0.0
2,77.1935,1.0
4,73.2326,2.0
6,75.5869,3.0
8,78.6963,4.0
10,88.6238,5.0
12,94.0136,6.0
14,87.9412,7.0
16,85.5578,8.0
18,83.9389,9.0
20,77.7454,10.0
22,81.7785,11.0
24,82.8546,12.0
26,89.1337,13.0
28,89.1906,14.0
30,88.7081,15.0
32,87.5095,16.0
34,78.1834,17.0
36,84.2284,18.0
38,98.1676,19.0
40,105.66799999999999,20.0
42,101.96600000000001,21.0
44,91.9862,22.0
46,90.193,23.0
48,92.7731,24.0
50,88.54799999999999,25.0
52,87.1381,26.0
54,89.0172,27.0
56,85.4133,28.0
58,83.3892,29.0
60,85.3974,30.0
62,85.0914,31.0
64,91.2132,32.0
66,81.1873,33.0
68,78.6868,34.0
70,74.9873,35.0
72,73.7753,36.0
74,75.11,37.0
76,70.3437,38.0
78,73.2409,39.0
80,79.2773,40.0
82,86.0438,41.0
84,97.7301,42.0
86,93.8798,43.0
88,89.0507,44.0
90,89.0507,45.0
92,89.0507,46.0
94,89.0507,47.0
96,61.3495,48.0
98,64.1797,49.0
100,64.6265,50.0
102,67.0541,51.0
104,63.7108,52.0
106,57.7733,53.0
108,60.7452,54.0
110,59.6023,55.0
112,66.4692,56.0
114,68.1728,57.0
116,64.8637,58.0
118,66.9524,59.0
120,63.1893,60.0
122,61.7294,61.0
124,63.6493,62.0
126,62.9438,63.0
128,66.7198,64.0
130,75.0504,65.0
132,70.5107,66.0
134,60.5835,67.0
136,57.4544,68.0
138,64.1282,69.0
140,64.128,70.0
142,60.9762,71.0
144,57.1912,72.0
146,57.0292,73.0
148,55.4428,74.0
150,55.9544,75.0
152,56.8106,76.0
154,57.3276,77.0
156,60.9091,78.0
158,58.738,79.0
160,58.8504,80.0
162,59.2953,81.0
164,54.5355,82.0
166,60.1573,83.0
168,56.8368,84.0
170,63.1132,85.0
172,69.907,86.0
174,66.7465,87.0
176,73.2683,88.0
178,81.4156,89.0
180,78.6589,90.0
182,78.6589,91.0
184,65.3615,92.0
186,62.2092,93.0
188,66.2136,94.0
190,66.2424,95.0
192,63.1171,96.0
194,62.6982,97.0
196,60.78,98.0
198,61.2032,99.0
200,66.4253,100.0
202,65.8478,101.0
204,62.4155,102.0
206,62.8537,103.0
208,59.3403,104.0
210,56.8083,105.0
212,57.5308,106.0
214,57.0575,107.0
216,57.5146,108.0
218,60.9456,109.0
220,60.6685,110.0
222,57.4595,111.0
224,58.2253,112.0
226,59.3044,113.0
228,57.3413,114.0
230,57.71,115.0
232,59.3427,116.0
234,60.5029,117.0
236,62.0118,118.0
238,60.2406,119.0
240,60.2177,120.0
242,61.4815,121.0
244,61.2249,122.0
246,59.7946,123.0
248,58.1228,124.0
250,57.2489,125.0
252,59.1838,126.0
254,60.5127,127.0
256,59.8077,128.0
258,61.3757,129.0
260,61.3757,130.0
262,61.7095,131.0
264,61.7095,132.0
266,57.0455,133.0
268,61.8115,134.0
270,59.9939,135.0
272,58.8278,136.0
274,59.663000000000004,137.0
276,60.1281,138.0
278,60.1281,139.0
280,64.3728,140.0
282,65.191,141.0
284,74.5096,142.0
