,hr,time
0,64.0,0.0
2,64.0,1.0
4,59.9386,2.0
6,59.3191,3.0
8,64.4254,4.0
10,67.1694,5.0
12,63.3023,6.0
14,61.047,7.0
16,62.4154,8.0
18,65.8253,9.0
20,63.5651,10.0
22,61.7136,11.0
24,62.5035,12.0
26,66.5611,13.0
28,67.1417,14.0
30,64.3474,15.0
32,63.2838,16.0
34,66.1761,17.0
36,70.7071,18.0
38,70.1089,19.0
40,69.6276,20.0
42,68.6051,21.0
44,69.6971,22.0
46,70.3175,23.0
48,69.3169,24.0
50,69.7126,25.0
52,72.0113,26.0
54,70.9397,27.0
56,69.2165,28.0
58,70.4773,29.0
60,71.6273,30.0
62,67.734,31.0
64,67.0832,32.0
66,69.7174,33.0
68,70.4873,34.0
70,67.3624,35.0
72,64.9427,36.0
74,69.6307,37.0
76,68.5233,38.0
78,65.9538,39.0
80,66.7111,40.0
82,71.5878,41.0
84,70.1023,42.0
86,66.1235,43.0
88,65.5757,44.0
90,70.8132,45.0
92,66.6682,46.0
94,63.3737,47.0
96,65.7419,48.0
98,70.0455,49.0
100,67.4126,50.0
102,66.3055,51.0
104,66.0145,52.0
106,69.0079,53.0
108,65.4744,54.0
110,65.6261,55.0
112,68.223,56.0
114,68.5423,57.0
116,64.9616,58.0
118,63.5478,59.0
120,68.3075,60.0
122,70.3031,61.0
124,67.3039,62.0
126,65.6286,63.0
128,68.6896,64.0
130,67.5824,65.0
132,64.5999,66.0
134,64.9644,67.0
136,66.9855,68.0
138,65.7074,69.0
140,63.0088,70.0
142,62.2456,71.0
144,63.6634,72.0
146,65.9486,73.0
148,62.7531,74.0
150,63.8855,75.0
152,67.0132,76.0
154,67.0515,77.0
156,63.1162,78.0
158,61.65,79.0
160,64.4576,80.0
162,65.6984,81.0
164,62.6523,82.0
166,61.9079,83.0
168,66.4246,84.0
170,65.245,85.0
172,61.0829,86.0
174,60.2744,87.0
176,64.8271,88.0
178,61.9557,89.0
180,59.0725,90.0
182,58.8506,91.0
184,64.898,92.0
186,62.602,93.0
188,62.0706,94.0
190,63.9865,95.0
192,66.9368,96.0
194,62.826,97.0
196,64.7425,98.0
198,69.0805,99.0
200,67.2442,100.0
202,63.0068,101.0
204,62.1607,102.0
206,64.9443,103.0
208,68.578,104.0
210,64.9388,105.0
212,60.3866,106.0
214,61.3412,107.0
216,65.3192,108.0
218,63.0194,109.0
220,59.4981,110.0
222,59.6338,111.0
224,63.6501,112.0
226,61.3791,113.0
228,58.5215,114.0
230,62.053999999999995,115.0
232,62.053999999999995,116.0
234,68.5816,117.0
236,63.3848,118.0
238,59.9413,119.0
240,58.6426,120.0
242,62.1725,121.0
244,63.1345,122.0
246,60.6487,123.0
248,56.9788,124.0
250,58.4533,125.0
252,59.5284,126.0
254,57.7927,127.0
256,57.6105,128.0
258,61.791000000000004,129.0
260,61.6877,130.0
262,58.2061,131.0
264,58.6806,132.0
266,62.6013,133.0
268,61.9595,134.0
270,55.8297,135.0
272,54.5969,136.0
274,58.9749,137.0
276,61.2375,138.0
278,59.5446,139.0
280,59.8152,140.0
282,62.1885,141.0
284,60.2937,142.0
286,58.0733,143.0
288,56.4459,144.0
290,55.9367,145.0
292,58.6082,146.0
294,59.8087,147.0
296,57.3579,148.0
298,57.0784,149.0
300,59.575,150.0
302,63.4268,151.0
304,61.1194,152.0
306,58.6656,153.0
308,60.5717,154.0
310,64.7247,155.0
312,61.1902,156.0
314,60.9879,157.0
316,64.1716,158.0
318,62.355,159.0
320,60.4636,160.0
322,63.4193,161.0
324,67.7264,162.0
326,66.3989,163.0
328,63.9097,164.0
330,62.7735,165.0
332,65.464,166.0
334,65.6985,167.0
336,62.2294,168.0
338,61.0001,169.0
340,65.4485,170.0
342,63.6277,171.0
344,60.1569,172.0
346,61.2671,173.0
348,66.2946,174.0
350,69.6263,175.0
352,71.194,176.0
354,70.1571,177.0
356,67.9963,178.0
358,68.4354,179.0
360,67.2109,180.0
362,71.2288,181.0
364,68.7219,182.0
366,68.9107,183.0
368,71.4793,184.0
370,69.7434,185.0
372,67.6724,186.0
374,69.6426,187.0
376,72.9615,188.0
378,72.008,189.0
380,68.1706,190.0
382,63.7837,191.0
384,62.6768,192.0
386,64.0739,193.0
388,67.8137,194.0
390,63.9019,195.0
392,62.5153,196.0
394,62.9672,197.0
396,66.2508,198.0
398,70.9599,199.0
400,65.5346,200.0
402,59.9044,201.0
404,59.3194,202.0
406,64.5236,203.0
408,62.9466,204.0
410,59.9524,205.0
412,59.9102,206.0
414,66.0666,207.0
416,63.6909,208.0
418,58.4769,209.0
420,58.9319,210.0
422,62.3183,211.0
424,58.8832,212.0
426,56.0698,213.0
428,59.2758,214.0
430,65.5314,215.0
432,62.4793,216.0
434,57.9359,217.0
436,58.5492,218.0
438,63.9294,219.0
440,59.3705,220.0
442,55.983999999999995,221.0
444,55.31,222.0
446,59.8976,223.0
448,60.3507,224.0
450,56.9978,225.0
452,53.8004,226.0
454,56.6059,227.0
456,61.6086,228.0
458,58.3788,229.0
460,58.0809,230.0
462,61.38,231.0
464,65.8077,232.0
466,63.2395,233.0
468,59.6041,234.0
470,57.0205,235.0
472,61.5797,236.0
474,65.9518,237.0
476,63.6286,238.0
478,61.7045,239.0
480,64.2252,240.0
482,68.1521,241.0
484,65.9109,242.0
486,64.0891,243.0
488,64.8248,244.0
490,67.8695,245.0
492,64.829,246.0
494,61.715,247.0
496,62.4716,248.0
498,66.3469,249.0
500,62.3295,250.0
502,61.7011,251.0
504,65.419,252.0
506,69.0892,253.0
508,68.1974,254.0
510,65.7059,255.0
