,Unnamed: 0,ID,volume,earning,holding,session
1,0,M1,116.0,53490,4,24
2,1,M2,14.0,23645,22,24
3,2,M3,32.0,31970,18,24
4,3,M4,57.0,15870,7,24
5,4,M5,96.0,25110,6,24
6,5,M6,117.0,21780,0,24
7,6,M7,99.0,6440,65,24
8,7,M8,61.0,24895,6,24
