,hr,time
568,108.001,0.0
570,73.8001,1.0
572,71.953,2.0
574,142.428,3.0
576,78.3482,4.0
578,83.70100000000001,5.0
580,84.9384,6.0
582,81.6922,7.0
584,76.7709,8.0
586,71.5496,9.0
588,70.6399,10.0
590,73.7032,11.0
592,75.7244,12.0
594,72.6725,13.0
596,69.3101,14.0
598,70.8338,15.0
600,73.6286,16.0
602,74.4554,17.0
604,70.2287,18.0
606,68.2161,19.0
608,69.8812,20.0
610,68.8923,21.0
612,67.0939,22.0
614,66.7472,23.0
616,67.2849,24.0
618,70.9822,25.0
620,70.9822,26.0
622,83.6532,27.0
624,77.4717,28.0
626,71.7141,29.0
628,68.3989,30.0
630,67.7517,31.0
632,68.2863,32.0
634,68.9532,33.0
636,67.9451,34.0
638,65.9404,35.0
640,65.641,36.0
642,65.1282,37.0
644,64.3215,38.0
646,64.2948,39.0
648,64.5836,40.0
650,63.8807,41.0
652,63.8132,42.0
654,63.5275,43.0
656,61.7308,44.0
658,62.8641,45.0
660,64.3169,46.0
662,66.4798,47.0
664,70.7202,48.0
666,65.3349,49.0
668,60.8901,50.0
670,62.6034,51.0
672,70.8353,52.0
674,78.2566,53.0
676,85.0247,54.0
678,80.6034,55.0
680,72.4542,56.0
682,77.4843,57.0
684,75.4811,58.0
686,68.7039,59.0
688,66.5008,60.0
690,64.7722,61.0
692,66.4696,62.0
694,72.6677,63.0
696,78.3543,64.0
698,77.6885,65.0
700,75.4714,66.0
702,66.2807,67.0
704,65.8773,68.0
706,66.7621,69.0
708,66.5712,70.0
710,71.0867,71.0
712,79.1871,72.0
714,81.67,73.0
716,80.3602,74.0
718,80.3602,75.0
720,80.3602,76.0
722,68.9781,77.0
724,73.1052,78.0
726,69.9462,79.0
728,64.5407,80.0
730,63.1102,81.0
732,61.9884,82.0
734,61.5376,83.0
736,61.6198,84.0
738,64.6333,85.0
740,65.6519,86.0
742,61.8667,87.0
744,59.8468,88.0
746,58.9767,89.0
748,59.9124,90.0
750,63.5247,91.0
752,68.9047,92.0
754,68.8582,93.0
756,63.7136,94.0
758,60.6061,95.0
760,60.8169,96.0
762,69.2846,97.0
764,70.3653,98.0
766,68.1403,99.0
768,66.2298,100.0
770,64.5953,101.0
772,66.8788,102.0
774,65.7676,103.0
776,63.4881,104.0
778,62.7503,105.0
780,62.8136,106.0
782,68.1707,107.0
784,64.3446,108.0
786,62.5969,109.0
788,61.7174,110.0
790,61.44,111.0
792,62.0078,112.0
794,62.9579,113.0
796,62.9579,114.0
798,70.2286,115.0
800,67.9047,116.0
802,62.5717,117.0
804,59.7883,118.0
806,60.3607,119.0
808,61.4417,120.0
810,62.248000000000005,121.0
812,65.1021,122.0
814,70.8592,123.0
816,71.2389,124.0
818,68.10300000000001,125.0
820,68.10300000000001,126.0
822,72.1732,127.0
824,55.211000000000006,128.0
826,56.7699,129.0
828,58.9428,130.0
830,60.2612,131.0
832,61.0127,132.0
834,60.6899,133.0
836,60.99,134.0
838,63.4443,135.0
840,65.2175,136.0
842,64.1234,137.0
844,64.1234,138.0
846,111.897,139.0
848,69.9249,140.0
850,76.9688,141.0
852,72.5175,142.0
854,62.5248,143.0
856,58.7248,144.0
858,61.85,145.0
860,64.1032,146.0
862,63.9039,147.0
864,63.3402,148.0
866,63.6746,149.0
868,117.574,150.0
870,77.6655,151.0
872,67.5605,152.0
874,68.4713,153.0
876,67.3929,154.0
878,62.4552,155.0
880,58.6388,156.0
882,57.8619,157.0
884,59.148999999999994,158.0
886,60.6169,159.0
888,65.4298,160.0
890,73.6804,161.0
892,73.6013,162.0
894,68.0459,163.0
896,62.2515,164.0
898,59.8783,165.0
900,59.5432,166.0
902,60.9843,167.0
904,62.5335,168.0
906,64.7551,169.0
908,72.7761,170.0
910,83.0072,171.0
912,76.0072,172.0
914,69.9161,173.0
916,60.7222,174.0
918,60.2575,175.0
920,60.308,176.0
922,60.3042,177.0
924,61.3373,178.0
926,62.5693,179.0
928,64.2081,180.0
930,65.6414,181.0
932,87.4152,182.0
934,77.793,183.0
936,80.10300000000001,184.0
938,70.3862,185.0
940,59.0063,186.0
942,56.6797,187.0
944,57.6428,188.0
946,59.1348,189.0
948,61.1988,190.0
950,63.2656,191.0
952,65.6493,192.0
954,65.6611,193.0
956,64.0367,194.0
958,62.0451,195.0
960,59.0696,196.0
962,59.9793,197.0
964,66.5873,198.0
966,73.5519,199.0
