,hr,time
0,72.7962,0.0
2,72.7962,1.0
4,89.6074,2.0
6,150.179,3.0
8,92.3505,4.0
10,72.2331,5.0
12,68.4176,6.0
14,81.5175,7.0
16,81.9073,8.0
18,75.2836,9.0
20,84.4625,10.0
22,73.374,11.0
24,69.8776,12.0
26,82.4465,13.0
28,74.0552,14.0
30,66.93,15.0
32,75.994,16.0
34,82.9368,17.0
36,64.2209,18.0
38,69.6813,19.0
40,78.7446,20.0
42,68.4359,21.0
44,64.0733,22.0
46,66.9391,23.0
48,69.4519,24.0
50,73.6016,25.0
52,91.757,26.0
54,84.5798,27.0
56,74.2566,28.0
58,68.5912,29.0
60,72.0585,30.0
62,64.8684,31.0
64,77.1707,32.0
66,74.202,33.0
68,63.5747,34.0
70,67.7712,35.0
72,64.4669,36.0
74,62.2101,37.0
76,71.2792,38.0
78,63.5682,39.0
80,62.2887,40.0
82,65.1505,41.0
84,66.6527,42.0
86,66.6527,43.0
88,74.0305,44.0
90,71.8288,45.0
92,63.9468,46.0
94,63.9468,47.0
96,88.3455,48.0
98,92.2845,49.0
100,64.6949,50.0
102,74.4137,51.0
104,69.8939,52.0
106,63.2056,53.0
108,65.8956,54.0
110,69.2295,55.0
112,64.2568,56.0
114,64.8384,57.0
116,62.4294,58.0
118,57.9439,59.0
120,60.9054,60.0
122,60.6306,61.0
124,58.418,62.0
126,64.6409,63.0
128,68.3536,64.0
130,58.5808,65.0
132,60.2016,66.0
134,60.9448,67.0
136,56.0527,68.0
138,61.8079,69.0
140,59.4396,70.0
142,60.0202,71.0
144,63.6598,72.0
146,60.4245,73.0
148,61.5326,74.0
150,58.8648,75.0
152,60.7038,76.0
154,62.5333,77.0
156,58.5522,78.0
158,59.378,79.0
160,58.3024,80.0
162,60.3403,81.0
164,68.2013,82.0
166,66.2301,83.0
168,71.8266,84.0
170,74.3287,85.0
172,74.3287,86.0
174,66.0262,87.0
176,61.0087,88.0
178,62.1398,89.0
180,66.2086,90.0
182,61.4882,91.0
184,67.9623,92.0
186,70.5019,93.0
188,63.235,94.0
190,73.5781,95.0
192,70.1681,96.0
194,71.1969,97.0
196,71.9425,98.0
198,60.988,99.0
200,62.801,100.0
202,63.9359,101.0
204,63.4933,102.0
206,74.4686,103.0
208,85.8035,104.0
210,95.6596,105.0
212,95.6596,106.0
214,80.1067,107.0
216,66.1639,108.0
218,66.9608,109.0
220,82.7637,110.0
222,69.1935,111.0
224,62.6982,112.0
226,66.3655,113.0
228,65.9235,114.0
230,64.5142,115.0
232,68.6696,116.0
234,65.4833,117.0
236,68.3286,118.0
238,73.0656,119.0
240,63.3707,120.0
242,58.4973,121.0
244,61.9608,122.0
246,64.7976,123.0
248,63.3688,124.0
250,64.5037,125.0
252,70.421,126.0
254,64.1112,127.0
256,60.8039,128.0
258,63.9277,129.0
260,58.3156,130.0
262,60.0733,131.0
264,64.793,132.0
266,59.5828,133.0
268,61.8121,134.0
270,64.374,135.0
272,58.3499,136.0
274,59.8416,137.0
