account,email,owner,marketplace,session,period,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,16. just time,17. just second,,trade,fair value,trade price,mispricing,time mins,time secs,buy/sell
pert-josh,M1@bmm,4564,433,8610,1,814,NULL,2815923,2815923,2815923,2815924,LIMIT,BUY,1,610,2019-03-29T03:56:22.758,2019-03-29T03:56:30.607,,03:56:22.758,03:56:22.758,0,750,#N/A,#N/A,00:00:00,0,1
pert-josh,M3@bmm,4566,433,8610,1,814,NULL,2815924,2815924,2815924,2815923,LIMIT,SELL,1,610,2019-03-29T03:56:30.601,2019-03-29T03:56:30.607,,03:56:30.601,03:56:30.601,1,750,610,-140,00:00:08,7.843,-1
pert-josh,M5@bmm,4568,433,8610,1,814,NULL,2815928,2815927,2815927,2815921,LIMIT,SELL,1,510,2019-03-29T03:56:33.941,2019-03-29T03:56:33.946,,03:56:33.941,03:56:33.941,1,750,510,-240,00:00:11,11.183,-1
pert-josh,M8@bmm,4571,433,8610,1,814,NULL,2815929,2815929,2815929,2815930,LIMIT,SELL,1,510,2019-03-29T03:56:43.082,2019-03-29T03:56:43.096,,03:56:43.082,03:56:43.082,0,750,#N/A,#N/A,00:00:20,20.324,-1
pert-josh,M6@bmm,4569,433,8610,1,814,NULL,2815930,2815926,2815926,2815929,LIMIT,BUY,1,510,2019-03-29T03:56:43.089,2019-03-29T03:56:43.096,,03:56:43.089,03:56:43.089,1,750,510,-240,00:00:20,20.331,1
pert-josh,M6@bmm,4569,433,8610,1,814,NULL,2815931,2815926,2815926,2815934,LIMIT,BUY,1,510,2019-03-29T03:56:32.482,2019-03-29T03:56:48.344,,03:56:32.482,03:56:32.482,0,750,#N/A,#N/A,00:00:10,9.724,1
pert-josh,M4@bmm,4567,433,8610,1,814,NULL,2815932,2815932,2815932,2815936,LIMIT,SELL,1,535,2019-03-29T03:56:44.524,2019-03-29T03:56:53.061,,03:56:44.524,03:56:44.524,0,750,#N/A,#N/A,00:00:22,21.766,-1
pert-josh,M8@bmm,4571,433,8610,1,814,NULL,2815934,2815934,2815934,2815931,LIMIT,SELL,1,510,2019-03-29T03:56:48.338,2019-03-29T03:56:48.344,,03:56:48.338,03:56:48.338,1,750,510,-240,00:00:26,25.58,-1
pert-josh,M5@bmm,4568,433,8610,1,814,NULL,2815936,2815936,2815936,2815932,LIMIT,BUY,1,535,2019-03-29T03:56:53.055,2019-03-29T03:56:53.061,,03:56:53.055,03:56:53.055,1,750,535,-215,00:00:30,30.297,1
pert-josh,M8@bmm,4571,433,8610,1,814,NULL,2815937,2815937,2815937,2815938,LIMIT,SELL,1,510,2019-03-29T03:56:57.702,2019-03-29T03:56:57.715,,03:56:57.702,03:56:57.702,0,750,#N/A,#N/A,00:00:35,34.944,-1
pert-josh,M6@bmm,4569,433,8610,1,814,NULL,2815938,2815935,2815935,2815937,LIMIT,BUY,1,510,2019-03-29T03:56:57.709,2019-03-29T03:56:57.716,,03:56:57.709,03:56:57.709,1,750,510,-240,00:00:35,34.951,1
pert-josh,M6@bmm,4569,433,8610,1,814,NULL,2815939,2815935,2815935,2815940,LIMIT,BUY,1,510,2019-03-29T03:56:48.422,2019-03-29T03:56:58.752,,03:56:48.422,03:56:48.422,0,750,#N/A,#N/A,00:00:26,25.664,1
pert-josh,M8@bmm,4571,433,8610,1,814,NULL,2815940,2815940,2815940,2815939,LIMIT,SELL,1,510,2019-03-29T03:56:58.745,2019-03-29T03:56:58.752,,03:56:58.745,03:56:58.745,1,750,510,-240,00:00:36,35.987,-1
pert-josh,M1@bmm,4564,433,8610,1,814,NULL,2815941,2815941,2815941,2815942,LIMIT,BUY,1,605,2019-03-29T03:57:03.607,2019-03-29T03:57:03.621,,03:57:03.607,03:57:03.607,0,750,#N/A,#N/A,00:00:41,40.849,1
pert-josh,M7@bmm,4570,433,8610,1,814,NULL,2815942,2815933,2815933,2815941,LIMIT,SELL,1,605,2019-03-29T03:57:03.614,2019-03-29T03:57:03.621,,03:57:03.614,03:57:03.614,1,750,605,-145,00:00:41,40.856,-1
pert-josh,M6@bmm,4569,433,8610,1,814,NULL,2815963,2815963,2815963,NULL,LIMIT,SELL,2,605,2019-03-29T03:57:51.410,2019-03-29T03:57:51.414,,03:57:51.410,03:57:51.410,0,750,#N/A,#N/A,00:01:29,88.652,-1
pert-josh,M8@bmm,4571,433,8610,1,814,NULL,2815965,2815965,2815965,2815966,LIMIT,SELL,1,520,2019-03-29T03:58:00.815,2019-03-29T03:58:06.304,,03:58:00.815,03:58:00.815,0,750,#N/A,#N/A,00:01:38,98.057,-1
pert-josh,M5@bmm,4568,433,8610,1,814,NULL,2815966,2815966,2815966,2815965,LIMIT,BUY,1,520,2019-03-29T03:58:06.296,2019-03-29T03:58:06.304,,03:58:06.296,03:58:06.296,1,750,520,-230,00:01:44,103.538,1
pert-josh,M8@bmm,4571,433,8610,1,814,NULL,2815967,2815967,2815967,2815971,LIMIT,SELL,1,550,2019-03-29T03:58:11.883,2019-03-29T03:58:18.503,,03:58:11.883,03:58:11.883,0,750,#N/A,#N/A,00:01:49,109.125,-1
pert-josh,M4@bmm,4567,433,8610,1,814,NULL,2815971,2815971,2815971,2815967,LIMIT,BUY,1,550,2019-03-29T03:58:18.496,2019-03-29T03:58:18.503,,03:58:18.496,03:58:18.496,1,750,550,-200,00:01:56,115.738,1
pert-josh,M1@bmm,4564,433,8610,1,814,NULL,2815972,2815972,2815972,2815976,LIMIT,BUY,1,550,2019-03-29T03:58:18.574,2019-03-29T03:58:22.964,,03:58:18.574,03:58:18.574,0,750,#N/A,#N/A,00:01:56,115.816,1
pert-josh,M7@bmm,4570,433,8610,1,814,NULL,2815973,2815973,2815973,NULL,LIMIT,SELL,2,590,2019-03-29T03:58:19.307,2019-03-29T03:58:19.311,,03:58:19.307,03:58:19.307,0,750,#N/A,#N/A,00:01:57,116.549,-1
pert-josh,M8@bmm,4571,433,8610,1,814,NULL,2815976,2815976,2815976,2815972,LIMIT,SELL,1,550,2019-03-29T03:58:22.957,2019-03-29T03:58:22.964,,03:58:22.957,03:58:22.957,1,750,550,-200,00:02:00,120.199,-1
pert-josh,M7@bmm,4570,433,8610,1,814,NULL,2815979,2815979,2815979,NULL,LIMIT,SELL,1,580,2019-03-29T03:58:31.285,2019-03-29T03:58:31.288,,03:58:31.285,03:58:31.285,0,750,#N/A,#N/A,00:02:09,128.527,-1
pert-josh,M5@bmm,4568,433,8610,1,814,NULL,2815985,2815985,2815985,2815989,LIMIT,BUY,1,520,2019-03-29T03:58:46.289,2019-03-29T03:58:49.948,,03:58:46.289,03:58:46.289,0,750,#N/A,#N/A,00:02:24,143.531,1
pert-josh,M7@bmm,4570,433,8610,1,814,NULL,2815986,2815986,2815986,NULL,LIMIT,SELL,1,570,2019-03-29T03:58:46.488,2019-03-29T03:58:46.491,,03:58:46.488,03:58:46.488,0,750,#N/A,#N/A,00:02:24,143.73,-1
pert-josh,M6@bmm,4569,433,8610,1,814,NULL,2815987,2815987,2815987,NULL,LIMIT,BUY,2,480,2019-03-29T03:58:47.057,2019-03-29T03:58:47.061,,03:58:47.057,03:58:47.057,0,750,#N/A,#N/A,00:02:24,144.299,1
pert-josh,M4@bmm,4567,433,8610,1,814,NULL,2815989,2815988,2815988,2815985,LIMIT,SELL,1,520,2019-03-29T03:58:49.944,2019-03-29T03:58:49.948,,03:58:49.944,03:58:49.944,1,750,520,-230,00:02:27,147.186,-1
pert-josh,M8@bmm,4571,433,8610,1,814,NULL,2815990,2815990,2815990,NULL,LIMIT,BUY,1,510,2019-03-29T03:58:55.458,2019-03-29T03:58:55.461,,03:58:55.458,03:58:55.458,0,750,#N/A,#N/A,00:02:33,152.7,1
pert-josh,M8@bmm,4571,433,8610,1,814,NULL,2815991,2815991,2815991,NULL,LIMIT,BUY,1,520,2019-03-29T03:58:58.475,2019-03-29T03:58:58.478,,03:58:58.475,03:58:58.475,0,750,#N/A,#N/A,00:02:36,155.717,1
