,Unnamed: 0,ID,volume,earning,holding,session
1,0,M1,41.0,23010,6,4
2,1,M2,25.0,22790,10,4
3,2,M3,38.0,27905,2,4
4,3,M4,36.0,24370,1,4
5,4,M5,44.0,22235,20,4
6,5,M6,180.0,17760,11,4
7,6,M7,59.0,21450,32,4
8,7,M8,181.0,14880,46,4
