,Unnamed: 0,Unnamed: 0.1,account,email,owner_x_x,marketplace,session,period,market,target,order_x_x,original,supplier,consumer_x,type,side,units,price,createdDate,lastModifiedDate,16. just time,17. just second,Unnamed: 20,trade_x_x,fair value,trade price,mispricing,time mins,time secs,buy/sell_x_x,owner_y,order_y,consumer_y,trade_y,buy/sell_y,owner_x_y,order_x_y,trade_x_y,buy/sell_x_y,mispricing_1_v2,mispricing_2_v2,mispricing_3_v2,mispricing_4_v2,mispricing_5_v2,mispricing_6_v2,mispricing_7_v2,mispricing_8_v2,s1 holding_v2,s2 holding_v2,s3 holding_v2,s4 holding_v2,s5 holding_v2,s6 holding_v2,s7 holding_v2,s8 holding_v2,s1 cash_v2,s2 cash_v2,s3 cash_v2,s4 cash_v2,s5 cash_v2,s6 cash_v2,s7 cash_v2,s8 cash_v2,Best Price,Asset Value_market_v2_S1,Asset Value_market_v2_S2,Asset Value_market_v2_S3,Asset Value_market_v2_S4,Asset Value_market_v2_S5,Asset Value_market_v2_S6,Asset Value_market_v2_S7,Asset Value_market_v2_S8,tradetime_x,ask,bid,spread
0,0,0,pert-josh,M7@bmm,7,433,8643,1,814,,2817737,2817737,2817737,2817756.0,LIMIT,BUY,1,200,2019-03-29T06:44:21.087,2019-03-29T06:45:03.042,,06:44:21.087,06:44:21.087,0,750,,,00:00:00,0.0,1,4.0,2817756.0,2817737.0,1.0,-1.0,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,220.0,14400.0,18640.0,14400.0,18640.0,20400.0,18640.0,14400.0,18640.0,0.0,,200.0,
1,1,1,pert-josh,M5@bmm,5,433,8643,1,814,,2817738,2817738,2817738,2817761.0,LIMIT,SELL,1,825,2019-03-29T06:44:33.136,2019-03-29T06:45:11.986,,06:44:33.136,06:44:33.136,0,750,,,00:00:12,12.049000000000001,-1,8.0,2817761.0,2817738.0,1.0,1.0,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,220.0,14400.0,18640.0,14400.0,18640.0,20400.0,18640.0,14400.0,18640.0,12.049000000000001,825.0,200.0,625.0
2,2,2,pert-josh,M4@bmm,4,433,8643,1,814,,2817739,2817739,2817739,2817741.0,LIMIT,SELL,1,220,2019-03-29T06:44:34.715,2019-03-29T06:44:37.551,,06:44:34.715,06:44:34.715,0,750,,,00:00:14,13.628,-1,6.0,2817741.0,2817739.0,1.0,1.0,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,220.0,14400.0,18640.0,14400.0,18640.0,20400.0,18640.0,14400.0,18640.0,13.628,220.0,200.0,20.0
3,3,3,pert-josh,M6@bmm,6,433,8643,1,814,,2817741,2817740,2817740,2817739.0,LIMIT,BUY,1,220,2019-03-29T06:44:37.545,2019-03-29T06:44:37.551,,06:44:37.545,06:44:37.545,1,750,220.0,-530.0,00:00:16,16.458,1,,,,,,4.0,2817739.0,0.0,-1.0,,,,-530.0,,-530.0,,,20.0,12.0,20.0,11.0,20.0,13.0,20.0,12.0,10000.0,16000.0,10000.0,16220.0,16000.0,15780.0,10000.0,16000.0,220.0,14400.0,18640.0,14400.0,18640.0,20400.0,18640.0,14400.0,18640.0,16.458,220.0,715.0,-495.0
4,4,4,pert-josh,M6@bmm,6,433,8643,1,814,,2817742,2817740,2817740,2817745.0,LIMIT,BUY,1,715,2019-03-29T06:44:37.537,2019-03-29T06:44:49.395,,06:44:37.537,06:44:37.537,0,750,,,00:00:16,16.45,1,4.0,2817745.0,2817742.0,1.0,-1.0,,,,,,,,,,,,,20.0,12.0,20.0,11.0,20.0,13.0,20.0,12.0,10000.0,16000.0,10000.0,16220.0,16000.0,15780.0,10000.0,16000.0,715.0,24300.0,24580.0,24300.0,24085.0,30300.0,25075.0,24300.0,24580.0,16.45,220.0,715.0,-495.0
5,5,5,pert-josh,M2@bmm,2,433,8643,1,814,,2817743,2817743,2817743,2817757.0,LIMIT,BUY,1,200,2019-03-29T06:44:42.547,2019-03-29T06:45:04.284,,06:44:42.547,06:44:42.547,0,750,,,00:00:21,21.46,1,4.0,2817757.0,2817743.0,1.0,-1.0,,,,,,,,,,,,,20.0,12.0,20.0,11.0,20.0,13.0,20.0,12.0,10000.0,16000.0,10000.0,16220.0,16000.0,15780.0,10000.0,16000.0,715.0,24300.0,24580.0,24300.0,24085.0,30300.0,25075.0,24300.0,24580.0,21.46,825.0,715.0,110.0
6,6,6,pert-josh,M4@bmm,4,433,8643,1,814,,2817745,2817744,2817744,2817742.0,LIMIT,SELL,1,715,2019-03-29T06:44:49.390,2019-03-29T06:44:49.395,,06:44:49.390,06:44:49.390,1,750,715.0,-35.0,00:00:28,28.303,-1,,,,,,6.0,2817742.0,0.0,1.0,,,,-35.0,,-35.0,,,20.0,12.0,20.0,10.0,20.0,14.0,20.0,12.0,10000.0,16000.0,10000.0,16935.0,16000.0,15065.0,10000.0,16000.0,715.0,24300.0,24580.0,24300.0,24085.0,30300.0,25075.0,24300.0,24580.0,28.303,825.0,715.0,110.0
7,7,7,pert-josh,M3@bmm,3,433,8643,1,814,,2817746,2817746,2817746,2817748.0,LIMIT,SELL,1,705,2019-03-29T06:44:49.549,2019-03-29T06:44:50.637,,06:44:49.549,06:44:49.549,0,750,,,00:00:28,28.462,-1,6.0,2817748.0,2817746.0,1.0,1.0,,,,,,,,,,,,,20.0,12.0,20.0,10.0,20.0,14.0,20.0,12.0,10000.0,16000.0,10000.0,16935.0,16000.0,15065.0,10000.0,16000.0,705.0,24100.0,24460.0,24100.0,23985.0,30100.0,24935.0,24100.0,24460.0,28.462,705.0,200.0,505.0
8,8,8,pert-josh,M6@bmm,6,433,8643,1,814,,2817748,2817747,2817747,2817746.0,LIMIT,BUY,1,705,2019-03-29T06:44:50.630,2019-03-29T06:44:50.637,,06:44:50.630,06:44:50.630,1,750,705.0,-45.0,00:00:30,29.54300000000001,1,,,,,,3.0,2817746.0,0.0,-1.0,,,-45.0,,,-45.0,,,20.0,12.0,19.0,10.0,20.0,15.0,20.0,12.0,10000.0,16000.0,10705.0,16935.0,16000.0,14360.0,10000.0,16000.0,705.0,24100.0,24460.0,24100.0,23985.0,30100.0,24935.0,24100.0,24460.0,,,,
9,9,9,pert-josh,M6@bmm,6,433,8643,1,814,,2817749,2817747,2817747,2817752.0,LIMIT,BUY,1,715,2019-03-29T06:44:50.622,2019-03-29T06:44:56.537,,06:44:50.622,06:44:50.622,0,750,,,00:00:30,29.535,1,7.0,2817752.0,2817749.0,1.0,-1.0,,,,,,,,,,,,,20.0,12.0,19.0,10.0,20.0,15.0,20.0,12.0,10000.0,16000.0,10705.0,16935.0,16000.0,14360.0,10000.0,16000.0,715.0,24300.0,24580.0,24290.0,24085.0,30300.0,25085.0,24300.0,24580.0,29.535,705.0,715.0,-10.0
10,10,10,pert-josh,M5@bmm,5,433,8643,1,814,,2817750,2817750,2817750,2817755.0,LIMIT,BUY,1,245,2019-03-29T06:44:54.383,2019-03-29T06:44:58.050,,06:44:54.383,06:44:54.383,0,750,,,00:00:33,33.296,1,4.0,2817755.0,2817750.0,1.0,-1.0,,,,,,,,,,,,,20.0,12.0,19.0,10.0,20.0,15.0,20.0,12.0,10000.0,16000.0,10705.0,16935.0,16000.0,14360.0,10000.0,16000.0,715.0,24300.0,24580.0,24290.0,24085.0,30300.0,25085.0,24300.0,24580.0,33.296,825.0,715.0,110.0
