,hr,time
0,93.6585,0.0
2,93.6585,1.0
4,115.17200000000001,2.0
6,116.801,3.0
8,118.29700000000001,4.0
10,116.21,5.0
12,116.382,6.0
14,117.723,7.0
16,116.914,8.0
18,118.72,9.0
20,117.709,10.0
22,116.162,11.0
24,116.779,12.0
26,114.822,13.0
28,114.814,14.0
30,115.689,15.0
32,114.06700000000001,16.0
34,113.70200000000001,17.0
36,117.882,18.0
38,111.431,19.0
40,114.574,20.0
42,115.05799999999999,21.0
44,111.92200000000001,22.0
46,114.655,23.0
48,115.271,24.0
50,115.698,25.0
52,115.965,26.0
54,113.62100000000001,27.0
56,114.06,28.0
58,115.385,29.0
60,113.887,30.0
62,114.626,31.0
64,114.96799999999999,32.0
66,112.383,33.0
68,112.117,34.0
70,111.926,35.0
72,112.57799999999999,36.0
74,114.904,37.0
76,112.882,38.0
78,114.82700000000001,39.0
80,116.664,40.0
82,112.64200000000001,41.0
84,113.245,42.0
86,114.524,43.0
88,112.941,44.0
90,114.75200000000001,45.0
92,114.389,46.0
94,113.208,47.0
96,114.52,48.0
98,111.865,49.0
100,112.87200000000001,50.0
102,113.61399999999999,51.0
104,112.61399999999999,52.0
106,115.036,53.0
108,114.02,54.0
110,113.404,55.0
112,114.825,56.0
114,113.838,57.0
116,114.935,58.0
118,115.822,59.0
120,116.15100000000001,60.0
122,118.243,61.0
124,116.67299999999999,62.0
126,115.04700000000001,63.0
128,115.807,64.0
130,114.846,65.0
132,114.61,66.0
134,110.98,67.0
136,113.78399999999999,68.0
138,112.49,69.0
140,109.89200000000001,70.0
142,110.596,71.0
144,109.095,72.0
146,109.52,73.0
148,112.579,74.0
150,111.96799999999999,75.0
152,112.43,76.0
154,112.44,77.0
156,108.973,78.0
158,108.899,79.0
160,106.03200000000001,80.0
162,107.02,81.0
164,109.27799999999999,82.0
166,106.751,83.0
168,106.73,84.0
170,107.413,85.0
172,106.36399999999999,86.0
174,108.463,87.0
176,107.54,88.0
178,106.485,89.0
180,107.791,90.0
182,106.277,91.0
184,107.084,92.0
186,108.921,93.0
188,107.635,94.0
190,107.84,95.0
192,110.176,96.0
194,108.92399999999999,97.0
196,108.49600000000001,98.0
198,109.296,99.0
200,107.92200000000001,100.0
202,108.611,101.0
204,113.25,102.0
206,114.565,103.0
208,109.935,104.0
210,104.447,105.0
212,103.59200000000001,106.0
214,102.759,107.0
216,105.837,108.0
218,107.421,109.0
220,106.432,110.0
222,106.62100000000001,111.0
224,108.26799999999999,112.0
226,106.804,113.0
228,104.20100000000001,114.0
230,101.92200000000001,115.0
232,101.37,116.0
234,101.54,117.0
236,101.34100000000001,118.0
238,104.012,119.0
240,102.542,120.0
242,101.584,121.0
244,103.604,122.0
246,104.61200000000001,123.0
248,101.376,124.0
250,100.016,125.0
252,100.76899999999999,126.0
254,100.052,127.0
256,101.81299999999999,128.0
258,102.26700000000001,129.0
260,101.531,130.0
262,102.58,131.0
264,104.12,132.0
266,103.554,133.0
268,104.855,134.0
270,107.40700000000001,135.0
272,108.057,136.0
274,108.52799999999999,137.0
276,108.52799999999999,138.0
278,105.199,139.0
280,106.23299999999999,140.0
282,102.999,141.0
284,101.21700000000001,142.0
286,103.36399999999999,143.0
288,102.788,144.0
290,102.742,145.0
292,104.766,146.0
294,103.12700000000001,147.0
296,102.116,148.0
298,105.40100000000001,149.0
300,103.939,150.0
302,99.8148,151.0
304,105.029,152.0
306,110.465,153.0
308,113.609,154.0
310,111.926,155.0
312,110.359,156.0
314,110.51,157.0
316,107.48899999999999,158.0
318,103.96600000000001,159.0
320,107.49799999999999,160.0
322,105.679,161.0
324,104.43799999999999,162.0
326,106.10700000000001,163.0
328,104.695,164.0
330,103.301,165.0
332,104.39200000000001,166.0
334,105.75,167.0
336,104.861,168.0
338,105.552,169.0
340,105.566,170.0
342,102.9,171.0
344,104.854,172.0
346,104.29299999999999,173.0
348,101.208,174.0
350,103.2,175.0
352,102.604,176.0
354,100.416,177.0
356,102.919,178.0
358,102.919,179.0
360,105.744,180.0
362,104.67299999999999,181.0
364,106.09299999999999,182.0
366,105.848,183.0
368,106.184,184.0
370,105.64399999999999,185.0
372,102.141,186.0
374,102.33200000000001,187.0
376,103.546,188.0
378,104.119,189.0
380,104.79,190.0
382,107.60799999999999,191.0
384,107.15100000000001,192.0
386,105.62100000000001,193.0
388,107.238,194.0
390,104.204,195.0
392,103.21700000000001,196.0
394,105.991,197.0
396,102.999,198.0
398,99.736,199.0
400,101.834,200.0
402,103.538,201.0
404,102.271,202.0
406,103.427,203.0
408,104.16799999999999,204.0
410,102.402,205.0
412,101.961,206.0
414,103.126,207.0
416,102.449,208.0
418,104.984,209.0
420,104.984,210.0
422,104.984,211.0
424,106.42399999999999,212.0
426,105.456,213.0
428,106.416,214.0
430,102.514,215.0
432,100.56,216.0
434,101.485,217.0
436,103.3,218.0
438,103.14399999999999,219.0
440,104.27600000000001,220.0
442,105.105,221.0
444,103.061,222.0
446,103.351,223.0
448,104.117,224.0
450,101.10600000000001,225.0
452,102.249,226.0
454,102.889,227.0
456,101.79299999999999,228.0
458,103.37899999999999,229.0
460,105.094,230.0
462,102.22,231.0
464,97.8345,232.0
466,100.315,233.0
468,101.87799999999999,234.0
470,99.8581,235.0
472,102.152,236.0
474,104.25299999999999,237.0
476,100.73700000000001,238.0
478,100.04,239.0
480,99.1481,240.0
482,97.5394,241.0
484,96.6392,242.0
486,98.7971,243.0
488,100.133,244.0
490,106.259,245.0
492,111.62299999999999,246.0
494,113.24600000000001,247.0
496,108.073,248.0
498,104.165,249.0
500,104.24799999999999,250.0
502,105.884,251.0
504,104.182,252.0
506,103.23200000000001,253.0
508,104.275,254.0
510,106.08200000000001,255.0
512,105.601,256.0
514,105.155,257.0
516,107.39399999999999,258.0
518,109.18299999999999,259.0
520,110.829,260.0
522,111.175,261.0
524,107.69,262.0
526,107.13,263.0
528,106.18700000000001,264.0
530,105.134,265.0
532,105.37,266.0
534,105.264,267.0
536,100.75399999999999,268.0
538,99.0539,269.0
540,100.061,270.0
542,98.4086,271.0
544,96.8285,272.0
546,100.584,273.0
548,99.7796,274.0
550,99.4748,275.0
552,99.8925,276.0
554,97.6916,277.0
556,95.62100000000001,278.0
558,95.62100000000001,279.0
560,95.62100000000001,280.0
562,95.62100000000001,281.0
564,104.42,282.0
566,106.211,283.0
568,106.368,284.0
570,105.014,285.0
572,106.32700000000001,286.0
574,106.64399999999999,287.0
576,102.819,288.0
578,103.984,289.0
580,104.978,290.0
582,104.955,291.0
584,107.335,292.0
586,109.708,293.0
588,107.494,294.0
590,103.977,295.0
592,102.652,296.0
594,103.24,297.0
596,101.62700000000001,298.0
598,101.859,299.0
600,103.545,300.0
602,102.27,301.0
604,100.169,302.0
606,102.745,303.0
608,102.745,304.0
610,102.745,305.0
612,102.745,306.0
614,111.551,307.0
616,109.723,308.0
618,108.385,309.0
620,108.19,310.0
622,108.359,311.0
624,107.87200000000001,312.0
626,104.92200000000001,313.0
628,102.383,314.0
630,101.219,315.0
632,101.176,316.0
634,102.572,317.0
636,103.15899999999999,318.0
638,100.902,319.0
640,99.1342,320.0
642,98.3258,321.0
644,98.1337,322.0
646,97.5931,323.0
648,100.417,324.0
650,102.152,325.0
652,98.1884,326.0
654,96.0084,327.0
656,100.848,328.0
658,101.321,329.0
660,98.7777,330.0
662,99.5174,331.0
664,98.7217,332.0
666,96.7833,333.0
668,101.762,334.0
670,106.79299999999999,335.0
672,110.156,336.0
674,113.98700000000001,337.0
676,110.405,338.0
678,110.675,339.0
680,108.39399999999999,340.0
682,106.421,341.0
684,105.12100000000001,342.0
686,106.398,343.0
688,105.053,344.0
690,106.62100000000001,345.0
692,106.214,346.0
694,102.976,347.0
696,105.01700000000001,348.0
698,105.39399999999999,349.0
700,104.189,350.0
702,106.90100000000001,351.0
704,109.225,352.0
706,106.147,353.0
708,102.99600000000001,354.0
710,104.117,355.0
712,103.522,356.0
714,103.213,357.0
716,103.676,358.0
718,104.079,359.0
720,107.62200000000001,360.0
722,109.277,361.0
724,108.51799999999999,362.0
726,107.37100000000001,363.0
728,108.814,364.0
730,107.62299999999999,365.0
732,104.59100000000001,366.0
734,105.662,367.0
736,107.413,368.0
738,106.993,369.0
740,108.044,370.0
742,109.671,371.0
744,107.42,372.0
746,106.441,373.0
748,109.15700000000001,374.0
750,109.803,375.0
752,106.96,376.0
754,105.749,377.0
756,104.304,378.0
758,106.648,379.0
760,104.241,380.0
762,101.251,381.0
764,105.584,382.0
766,106.14399999999999,383.0
768,105.566,384.0
770,106.32,385.0
772,108.936,386.0
774,107.42200000000001,387.0
776,105.671,388.0
778,105.35799999999999,389.0
780,108.369,390.0
782,106.125,391.0
784,104.21700000000001,392.0
786,103.803,393.0
788,106.12799999999999,394.0
790,105.47399999999999,395.0
792,100.99700000000001,396.0
794,102.456,397.0
796,101.78299999999999,398.0
798,97.9387,399.0
800,99.4032,400.0
802,99.4032,401.0
804,106.29,402.0
806,103.271,403.0
808,102.244,404.0
810,102.244,405.0
812,102.964,406.0
814,103.975,407.0
816,103.64299999999999,408.0
818,100.624,409.0
820,101.367,410.0
822,104.162,411.0
824,101.99700000000001,412.0
826,101.285,413.0
828,103.90299999999999,414.0
830,105.931,415.0
832,103.85600000000001,416.0
834,101.804,417.0
836,103.695,418.0
838,102.67399999999999,419.0
840,101.86,420.0
842,103.46799999999999,421.0
844,105.927,422.0
846,107.116,423.0
848,111.227,424.0
850,113.471,425.0
852,111.501,426.0
854,107.491,427.0
856,107.546,428.0
858,110.12,429.0
860,109.209,430.0
862,107.671,431.0
864,104.912,432.0
866,101.0,433.0
868,95.1442,434.0
870,93.4069,435.0
872,96.464,436.0
874,94.2505,437.0
876,92.8523,438.0
878,98.5198,439.0
880,98.8783,440.0
882,95.8918,441.0
884,95.0347,442.0
886,96.7152,443.0
888,93.4842,444.0
890,94.258,445.0
892,98.1408,446.0
894,97.8207,447.0
896,95.0587,448.0
898,98.792,449.0
900,100.915,450.0
902,97.1249,451.0
904,96.1962,452.0
906,95.9869,453.0
908,94.6296,454.0
