,hr,time
596,89.0256,0.0
598,89.0256,1.0
600,89.0256,2.0
602,105.67,3.0
604,102.09899999999999,4.0
606,103.186,5.0
608,100.027,6.0
610,94.8226,7.0
612,97.2327,8.0
614,96.0579,9.0
616,95.87200000000001,10.0
618,99.833,11.0
620,101.125,12.0
622,101.47399999999999,13.0
624,103.191,14.0
626,102.449,15.0
628,103.301,16.0
630,104.729,17.0
632,103.787,18.0
634,105.616,19.0
636,104.73700000000001,20.0
638,104.131,21.0
640,105.259,22.0
642,103.434,23.0
644,105.366,24.0
646,106.561,25.0
648,105.835,26.0
650,101.485,27.0
652,103.368,28.0
654,99.82799999999999,29.0
656,97.2792,30.0
658,100.12799999999999,31.0
660,98.6101,32.0
662,95.5853,33.0
664,98.4374,34.0
666,95.0848,35.0
668,90.0902,36.0
670,90.0902,37.0
672,94.4091,38.0
674,92.0219,39.0
676,91.2331,40.0
678,93.0597,41.0
680,90.3271,42.0
682,88.2147,43.0
684,92.0785,44.0
686,90.4115,45.0
688,92.1215,46.0
690,96.1444,47.0
692,93.2705,48.0
694,92.15299999999999,49.0
696,92.7059,50.0
698,87.3488,51.0
700,88.3323,52.0
702,94.1537,53.0
704,95.0872,54.0
706,92.8593,55.0
708,96.5395,56.0
710,93.6292,57.0
712,88.8771,58.0
714,92.5958,59.0
716,93.8777,60.0
718,89.7577,61.0
720,86.5762,62.0
722,88.1733,63.0
724,84.0794,64.0
726,85.5402,65.0
728,90.9571,66.0
730,91.5912,67.0
732,91.5678,68.0
734,92.7044,69.0
736,93.7293,70.0
738,93.7293,71.0
740,93.7293,72.0
742,90.6378,73.0
744,88.0242,74.0
746,85.5335,75.0
748,90.60700000000001,76.0
750,90.05,77.0
752,88.8912,78.0
754,91.8617,79.0
756,91.5303,80.0
758,87.6796,81.0
760,88.0408,82.0
762,90.3457,83.0
764,88.6147,84.0
766,88.9322,85.0
768,93.4022,86.0
770,92.4635,87.0
772,85.5723,88.0
774,81.9204,89.0
776,85.0844,90.0
778,88.4032,91.0
780,85.36,92.0
782,84.9411,93.0
784,90.385,94.0
786,93.8713,95.0
788,93.8998,96.0
790,90.9467,97.0
792,94.2779,98.0
794,93.3317,99.0
796,89.5237,100.0
798,90.9539,101.0
800,93.6047,102.0
802,88.0206,103.0
804,82.4395,104.0
806,85.8971,105.0
808,94.8134,106.0
810,95.4554,107.0
812,92.3768,108.0
814,92.5477,109.0
816,96.2111,110.0
818,96.2264,111.0
820,94.8193,112.0
822,93.8495,113.0
824,96.0042,114.0
826,94.0544,115.0
828,88.6232,116.0
830,90.3142,117.0
832,89.9076,118.0
834,87.5125,119.0
836,92.2383,120.0
838,95.2224,121.0
840,92.9832,122.0
842,92.7472,123.0
844,97.1554,124.0
846,96.4205,125.0
848,94.1238,126.0
850,91.1804,127.0
852,95.0731,128.0
854,94.4274,129.0
856,90.3705,130.0
858,92.851,131.0
860,92.6146,132.0
862,88.993,133.0
864,92.2447,134.0
866,96.4583,135.0
868,96.2488,136.0
870,97.5123,137.0
872,94.9592,138.0
874,91.4232,139.0
876,95.2907,140.0
878,97.3237,141.0
880,95.3866,142.0
882,95.5964,143.0
884,98.6105,144.0
886,97.4912,145.0
888,95.6556,146.0
890,98.9733,147.0
892,99.134,148.0
894,97.2716,149.0
896,96.4813,150.0
898,97.7244,151.0
900,96.3592,152.0
902,92.8796,153.0
904,94.1812,154.0
906,94.0577,155.0
908,91.14299999999999,156.0
910,94.6031,157.0
912,96.8212,158.0
914,94.0529,159.0
916,93.6741,160.0
918,95.9719,161.0
920,92.7703,162.0
922,91.1661,163.0
924,94.4314,164.0
926,95.6259,165.0
928,92.0053,166.0
930,89.0207,167.0
932,93.8154,168.0
934,94.0058,169.0
936,88.1165,170.0
938,83.5232,171.0
940,84.5862,172.0
942,84.5862,173.0
944,92.8721,174.0
946,91.8887,175.0
948,92.9965,176.0
950,91.9993,177.0
952,86.0107,178.0
954,74.9208,179.0
956,71.2332,180.0
958,81.9754,181.0
960,87.24799999999999,182.0
962,83.6076,183.0
964,85.1353,184.0
966,89.5596,185.0
968,87.0217,186.0
970,80.5532,187.0
972,81.6123,188.0
974,80.6907,189.0
976,81.9638,190.0
978,85.0502,191.0
980,90.5645,192.0
982,92.0481,193.0
984,88.8805,194.0
986,83.6914,195.0
988,82.0081,196.0
990,87.1072,197.0
992,90.3828,198.0
994,87.7517,199.0
996,86.4472,200.0
998,88.0687,201.0
1000,91.2929,202.0
1002,90.6986,203.0
1004,90.7537,204.0
1006,90.7537,205.0
1008,98.3056,206.0
1010,94.101,207.0
1012,91.3832,208.0
1014,91.0852,209.0
1016,91.7985,210.0
1018,90.8772,211.0
1020,89.7402,212.0
1022,93.3456,213.0
1024,97.0373,214.0
1026,95.1652,215.0
1028,91.8329,216.0
1030,84.7927,217.0
1032,87.2727,218.0
1034,85.465,219.0
1036,83.1813,220.0
1038,85.0808,221.0
1040,93.1558,222.0
1042,94.7184,223.0
1044,94.7184,224.0
1046,75.042,225.0
1048,72.1227,226.0
1050,84.8246,227.0
1052,87.7714,228.0
1054,87.1336,229.0
1056,86.8084,230.0
1058,87.5722,231.0
1060,87.7347,232.0
1062,104.85,233.0
1064,98.6012,234.0
1066,92.99,235.0
1068,83.605,236.0
1070,84.7888,237.0
1072,78.253,238.0
1074,85.8205,239.0
1076,91.8546,240.0
1078,93.26299999999999,241.0
1080,95.2038,242.0
1082,100.314,243.0
1084,102.589,244.0
1086,99.2628,245.0
1088,84.3291,246.0
1090,70.8395,247.0
1092,70.4443,248.0
1094,71.3054,249.0
1096,73.2051,250.0
1098,87.5671,251.0
1100,88.0978,252.0
1102,87.2472,253.0
1104,84.8828,254.0
1106,85.9765,255.0
1108,86.3288,256.0
1110,86.2509,257.0
1112,87.0255,258.0
1114,85.6098,259.0
1116,85.7389,260.0
1118,87.4753,261.0
1120,95.2989,262.0
1122,97.5006,263.0
1124,97.4615,264.0
1126,93.973,265.0
1128,95.14200000000001,266.0
1130,101.588,267.0
1132,99.3646,268.0
1134,97.7249,269.0
1136,95.1588,270.0
1138,95.7703,271.0
1140,99.8759,272.0
1142,99.822,273.0
1144,98.0237,274.0
1146,96.9081,275.0
1148,100.322,276.0
1150,100.509,277.0
1152,100.654,278.0
1154,102.41799999999999,279.0
1156,101.39299999999999,280.0
1158,98.6188,281.0
1160,96.0025,282.0
1162,99.1323,283.0
1164,99.7606,284.0
1166,97.6238,285.0
1168,95.0186,286.0
1170,95.6818,287.0
1172,99.3456,288.0
1174,99.4381,289.0
1176,97.87,290.0
1178,99.3213,291.0
1180,100.736,292.0
1182,100.721,293.0
1184,100.721,294.0
1186,100.721,295.0
1188,119.08200000000001,296.0
1190,110.615,297.0
1192,144.433,298.0
1194,100.34299999999999,299.0
1196,102.566,300.0
1198,121.6,301.0
1200,129.144,302.0
1202,102.402,303.0
1204,104.87700000000001,304.0
1206,103.29799999999999,305.0
1208,104.111,306.0
1210,105.205,307.0
1212,112.708,308.0
1214,106.154,309.0
1216,99.6303,310.0
1218,104.42,311.0
1220,102.306,312.0
1222,100.458,313.0
1224,95.6764,314.0
1226,87.0354,315.0
1228,87.7035,316.0
1230,94.9794,317.0
1232,97.2712,318.0
1234,95.0511,319.0
1236,93.4374,320.0
1238,94.1423,321.0
1240,97.59299999999999,322.0
1242,93.9181,323.0
1244,91.6513,324.0
1246,91.6513,325.0
1248,94.5335,326.0
1250,95.0087,327.0
1252,91.1708,328.0
1254,90.4752,329.0
1256,96.8182,330.0
1258,97.5062,331.0
1260,96.0813,332.0
1262,94.1906,333.0
1264,95.7867,334.0
1266,92.1039,335.0
1268,93.6628,336.0
1270,92.5838,337.0
1272,89.3743,338.0
1274,92.3271,339.0
1276,93.5376,340.0
1278,90.3146,341.0
1280,89.6306,342.0
1282,94.6862,343.0
1284,93.6799,344.0
1286,91.2002,345.0
1288,92.7273,346.0
1290,90.3812,347.0
1292,92.87899999999999,348.0
1294,98.4172,349.0
1296,99.4801,350.0
1298,97.2945,351.0
1300,94.2294,352.0
1302,97.5423,353.0
1304,95.4127,354.0
1306,91.5318,355.0
1308,90.1533,356.0
1310,92.8786,357.0
1312,92.8786,358.0
1314,92.8786,359.0
1316,100.55,360.0
1318,102.01700000000001,361.0
1320,101.367,362.0
1322,99.0168,363.0
1324,97.2035,364.0
1326,95.9654,365.0
1328,99.2981,366.0
1330,100.91,367.0
1332,97.6516,368.0
1334,91.3288,369.0
1336,85.3256,370.0
1338,71.1661,371.0
1340,66.908,372.0
1342,92.9871,373.0
1344,89.5108,374.0
1346,86.7614,375.0
1348,93.2927,376.0
1350,94.6949,377.0
1352,95.5124,378.0
1354,97.5289,379.0
1356,98.9711,380.0
1358,97.7358,381.0
1360,92.8821,382.0
1362,84.0522,383.0
1364,81.8004,384.0
1366,92.1699,385.0
1368,92.4183,386.0
1370,89.6308,387.0
1372,83.5961,388.0
1374,83.6148,389.0
1376,87.6289,390.0
1378,89.0516,391.0
1380,85.2537,392.0
1382,84.3392,393.0
1384,89.83200000000001,394.0
1386,89.8537,395.0
1388,87.9636,396.0
1390,84.2424,397.0
1392,87.2103,398.0
1394,91.9241,399.0
1396,96.9019,400.0
1398,97.0003,401.0
1400,93.9099,402.0
1402,86.4453,403.0
1404,80.1448,404.0
1406,86.3863,405.0
1408,90.0527,406.0
1410,89.7607,407.0
1412,90.6847,408.0
1414,94.2803,409.0
1416,98.2717,410.0
1418,98.5412,411.0
1420,96.7954,412.0
1422,92.2139,413.0
1424,88.5973,414.0
1426,92.4063,415.0
1428,95.9811,416.0
1430,95.4447,417.0
1432,92.0479,418.0
1434,89.4647,419.0
1436,92.4276,420.0
1438,89.9979,421.0
1440,87.9526,422.0
1442,90.1918,423.0
1444,96.2068,424.0
1446,97.9304,425.0
1448,95.7649,426.0
1450,89.99700000000001,427.0
1452,84.9016,428.0
1454,87.9037,429.0
1456,91.0041,430.0
1458,90.088,431.0
1460,91.2519,432.0
1462,95.5705,433.0
1464,98.2159,434.0
1466,96.9922,435.0
1468,97.1485,436.0
1470,97.8223,437.0
1472,95.2441,438.0
1474,90.3138,439.0
1476,87.4556,440.0
1478,91.9821,441.0
1480,93.4123,442.0
1482,93.4282,443.0
1484,91.0926,444.0
1486,89.2901,445.0
1488,93.3979,446.0
1490,95.2399,447.0
1492,95.79,448.0
1494,90.5825,449.0
1496,85.5388,450.0
1498,87.9649,451.0
1500,92.0113,452.0
1502,88.4276,453.0
1504,85.7307,454.0
1506,85.7703,455.0
1508,93.5937,456.0
1510,93.4712,457.0
1512,90.84200000000001,458.0
1514,88.82600000000001,459.0
1516,92.5862,460.0
1518,91.6846,461.0
1520,89.1812,462.0
1522,88.1746,463.0
1524,91.8594,464.0
1526,90.1661,465.0
1528,85.3116,466.0
1530,84.0216,467.0
1532,91.4715,468.0
1534,90.73,469.0
1536,88.8934,470.0
1538,88.0149,471.0
1540,97.73700000000001,472.0
1542,87.7339,473.0
1544,82.9705,474.0
1546,86.0252,475.0
1548,91.266,476.0
1550,89.0102,477.0
1552,87.0891,478.0
1554,90.1534,479.0
1556,94.22200000000001,480.0
1558,94.7058,481.0
1560,92.1744,482.0
1562,92.4343,483.0
1564,92.9087,484.0
1566,89.6142,485.0
1568,87.7868,486.0
1570,93.2246,487.0
1572,94.1486,488.0
1574,90.9784,489.0
1576,96.044,490.0
