,hr,time
0,82.3592,0.0
2,82.3592,1.0
4,98.4067,2.0
6,102.01,3.0
8,104.88600000000001,4.0
10,104.588,5.0
12,102.969,6.0
14,101.464,7.0
16,101.596,8.0
18,98.765,9.0
20,96.8133,10.0
22,101.00200000000001,11.0
24,103.262,12.0
26,97.2127,13.0
28,94.0148,14.0
30,102.68299999999999,15.0
32,106.417,16.0
34,105.22,17.0
36,101.72200000000001,18.0
38,97.5894,19.0
40,83.3717,20.0
42,86.9919,21.0
44,95.5948,22.0
46,88.6169,23.0
48,84.1644,24.0
50,90.62299999999999,25.0
52,97.2871,26.0
54,95.0078,27.0
56,96.7502,28.0
58,98.7782,29.0
60,92.3229,30.0
62,96.6764,31.0
64,101.148,32.0
66,97.7882,33.0
68,98.8785,34.0
70,101.902,35.0
72,100.006,36.0
74,103.73700000000001,37.0
76,107.40799999999999,38.0
78,103.34100000000001,39.0
80,102.434,40.0
82,106.906,41.0
84,104.165,42.0
86,103.594,43.0
88,107.49600000000001,44.0
90,107.09100000000001,45.0
92,102.581,46.0
94,101.538,47.0
96,101.48100000000001,48.0
98,100.41799999999999,49.0
100,105.277,50.0
102,102.72,51.0
104,94.9868,52.0
106,99.6729,53.0
108,98.1541,54.0
110,90.0909,55.0
112,94.2926,56.0
114,96.4481,57.0
116,88.6021,58.0
118,92.1277,59.0
120,97.9495,60.0
122,92.4021,61.0
124,93.9622,62.0
126,101.196,63.0
128,101.09700000000001,64.0
130,99.001,65.0
132,101.84200000000001,66.0
134,98.3874,67.0
136,90.4993,68.0
138,93.0182,69.0
140,98.2757,70.0
142,97.0978,71.0
144,98.8013,72.0
146,98.5443,73.0
148,96.1762,74.0
150,97.6821,75.0
152,100.169,76.0
154,94.3516,77.0
156,93.2656,78.0
158,100.681,79.0
160,99.5054,80.0
162,95.1128,81.0
164,96.3569,82.0
166,97.0442,83.0
168,87.7139,84.0
170,87.2911,85.0
172,95.9139,86.0
174,97.5425,87.0
176,93.3557,88.0
178,91.9273,89.0
180,94.2214,90.0
182,87.2615,91.0
184,83.141,92.0
186,93.1238,93.0
188,96.3575,94.0
190,91.1248,95.0
192,88.8823,96.0
194,95.9062,97.0
196,96.881,98.0
198,89.6938,99.0
200,85.1068,100.0
202,91.2222,101.0
204,93.6011,102.0
206,88.36399999999999,103.0
208,84.8616,104.0
210,90.6055,105.0
212,92.6838,106.0
214,84.8811,107.0
216,78.6536,108.0
218,86.5831,109.0
220,89.1678,110.0
222,85.2335,111.0
224,84.8535,112.0
226,90.3516,113.0
228,90.3475,114.0
230,89.6952,115.0
232,93.7025,116.0
234,91.4403,117.0
236,85.4517,118.0
238,88.1586,119.0
240,92.7496,120.0
242,89.2657,121.0
244,90.9871,122.0
246,93.834,123.0
248,94.0924,124.0
250,90.6813,125.0
252,88.9573,126.0
254,96.3985,127.0
256,97.899,128.0
258,94.8591,129.0
260,93.0965,130.0
262,93.0965,131.0
264,98.5036,132.0
266,92.6775,133.0
268,91.8672,134.0
270,96.8497,135.0
272,93.694,136.0
274,89.3026,137.0
276,89.7494,138.0
278,98.1917,139.0
280,98.929,140.0
282,91.5402,141.0
284,87.5042,142.0
286,93.8361,143.0
288,95.3886,144.0
290,92.3274,145.0
292,89.2686,146.0
294,94.9571,147.0
296,98.1914,148.0
298,95.4679,149.0
300,91.4216,150.0
302,92.6864,151.0
304,98.8604,152.0
306,100.12100000000001,153.0
308,99.9039,154.0
310,94.8495,155.0
312,94.1519,156.0
314,96.7263,157.0
316,94.2023,158.0
318,90.3239,159.0
320,93.993,160.0
322,98.6532,161.0
324,95.2442,162.0
326,89.8694,163.0
328,87.3673,164.0
330,87.0228,165.0
332,86.3329,166.0
334,89.882,167.0
336,97.4452,168.0
338,97.6676,169.0
340,92.7254,170.0
342,92.0307,171.0
344,95.5609,172.0
346,97.4179,173.0
348,91.1287,174.0
350,87.5873,175.0
352,95.0075,176.0
354,98.0206,177.0
