,Unnamed: 0,ID,volume,earning,holding,session
1,0,M1,62.0,26110,5,10
2,1,M2,27.0,24805,4,10
3,2,M3,31.0,27755,35,10
4,3,M4,97.0,25045,1,10
5,4,M5,71.0,30575,37,10
6,5,M6,60.0,25620,2,10
7,6,M7,43.0,27280,37,10
8,7,M8,37.0,25610,7,10
