,Unnamed: 0,ID,volume,earning,holding,session
1,0,M1,23.0,25000,13,5
2,1,M2,85.0,21340,0,5
3,2,M3,33.0,25645,7,5
4,3,M4,25.0,24175,19,5
5,4,M5,72.0,20525,4,5
6,5,M6,90.0,29585,23,5
7,6,M7,25.0,25220,28,5
8,7,M8,133.0,31710,34,5
