,Unnamed: 0,ID,volume,earning,holding,session
1,0,M1,54.0,20945,0,1
2,1,M2,83.0,16070,7,1
3,2,M3,42.0,16065,4,1
4,3,M4,116.0,29015,60,1
5,4,M5,46.0,23500,22,1
6,5,M6,29.0,22085,17,1
7,6,M7,37.0,22575,15,1
8,7,M8,45.0,17745,3,1
