,hr,time
0,129.62,0.0
2,201.294,1.0
4,99.9989,2.0
6,99.2677,3.0
8,101.655,4.0
10,99.7498,5.0
12,107.096,6.0
14,139.657,7.0
16,113.95299999999999,8.0
18,101.273,9.0
20,91.7897,10.0
22,88.1999,11.0
24,85.7376,12.0
26,87.9705,13.0
28,91.2806,14.0
30,95.0319,15.0
32,91.7278,16.0
34,90.1786,17.0
36,88.0678,18.0
38,79.7106,19.0
40,77.8083,20.0
42,85.4987,21.0
44,89.5162,22.0
46,80.551,23.0
48,78.7698,24.0
50,82.3131,25.0
52,76.9327,26.0
54,72.7289,27.0
56,75.3351,28.0
58,81.0506,29.0
60,81.1197,30.0
62,80.175,31.0
64,77.0807,32.0
66,76.14699999999999,33.0
68,74.711,34.0
70,79.5007,35.0
72,85.6071,36.0
74,84.7643,37.0
76,79.4495,38.0
78,79.9001,39.0
80,77.9442,40.0
82,75.6338,41.0
84,80.1209,42.0
86,80.2327,43.0
88,78.4252,44.0
90,77.0925,45.0
92,83.0865,46.0
94,81.8122,47.0
96,73.4582,48.0
98,74.8407,49.0
100,80.51100000000001,50.0
102,82.5761,51.0
104,80.2551,52.0
106,81.92,53.0
108,82.5276,54.0
110,85.2835,55.0
112,84.4227,56.0
114,84.4227,57.0
116,87.6419,58.0
118,87.3491,59.0
120,88.7945,60.0
122,85.4655,61.0
124,81.1305,62.0
126,81.5721,63.0
128,85.1921,64.0
130,79.157,65.0
132,80.95,66.0
134,82.2036,67.0
136,80.8355,68.0
138,82.9382,69.0
140,86.3215,70.0
142,80.0101,71.0
144,75.1136,72.0
146,76.0313,73.0
148,77.9059,74.0
150,76.1392,75.0
152,78.0072,76.0
154,81.4172,77.0
156,81.0226,78.0
158,79.6335,79.0
160,77.5658,80.0
162,81.1032,81.0
164,75.5446,82.0
166,74.5664,83.0
168,74.5664,84.0
170,91.397,85.0
172,95.441,86.0
174,95.835,87.0
176,85.7898,88.0
178,79.317,89.0
180,74.9372,90.0
182,80.92,91.0
184,82.8323,92.0
186,77.9621,93.0
188,75.8003,94.0
190,76.6971,95.0
192,78.3792,96.0
194,75.5468,97.0
196,72.6805,98.0
198,74.7617,99.0
200,78.1242,100.0
202,74.5626,101.0
204,70.4273,102.0
206,73.1308,103.0
208,80.0664,104.0
210,78.5965,105.0
212,74.1439,106.0
214,73.7358,107.0
216,77.317,108.0
218,74.7702,109.0
220,74.3128,110.0
222,77.2923,111.0
224,79.6778,112.0
226,75.98100000000001,113.0
228,71.7623,114.0
230,80.7555,115.0
232,85.3896,116.0
234,83.9955,117.0
236,77.1771,118.0
238,76.607,119.0
240,77.5752,120.0
242,74.4638,121.0
244,72.8109,122.0
246,75.4975,123.0
248,79.6915,124.0
250,77.039,125.0
252,72.2527,126.0
254,75.4102,127.0
256,77.6817,128.0
258,72.9394,129.0
260,72.1012,130.0
262,77.5926,131.0
264,77.5926,132.0
266,80.1119,133.0
268,78.7045,134.0
270,75.4013,135.0
272,73.9313,136.0
274,71.8594,137.0
276,73.5125,138.0
278,81.7469,139.0
280,79.6095,140.0
282,78.7851,141.0
284,81.2316,142.0
286,82.1339,143.0
288,78.2587,144.0
290,72.9803,145.0
292,76.0968,146.0
294,81.5894,147.0
296,75.5213,148.0
298,69.479,149.0
300,69.0215,150.0
302,73.8523,151.0
304,81.3457,152.0
306,80.7097,153.0
308,71.766,154.0
310,69.2322,155.0
312,72.5451,156.0
314,76.2626,157.0
316,74.9699,158.0
318,75.9896,159.0
320,79.0175,160.0
322,77.2501,161.0
324,70.96300000000001,162.0
326,72.7118,163.0
328,77.9505,164.0
330,76.7265,165.0
332,73.8003,166.0
334,75.3287,167.0
336,79.9277,168.0
338,78.1809,169.0
340,74.0804,170.0
342,76.487,171.0
344,78.1426,172.0
346,74.9987,173.0
348,72.7357,174.0
350,70.3805,175.0
352,74.1107,176.0
354,74.1107,177.0
356,76.6587,178.0
358,72.4652,179.0
360,75.4007,180.0
362,71.0731,181.0
364,68.1375,182.0
