,hr,time
0,58.0718,0.0
2,58.0718,1.0
4,58.7042,2.0
6,68.2716,3.0
8,75.1007,4.0
10,166.765,5.0
12,159.19799999999998,6.0
14,93.8309,7.0
16,81.815,8.0
18,77.3277,9.0
20,76.4679,10.0
22,73.7369,11.0
24,76.4246,12.0
26,76.6595,13.0
28,77.6596,14.0
30,79.9948,15.0
32,78.8493,16.0
34,76.9577,17.0
36,73.6714,18.0
38,67.7958,19.0
40,71.22399999999999,20.0
42,85.3496,21.0
44,85.3496,22.0
46,88.2589,23.0
48,73.7646,24.0
50,81.5721,25.0
52,77.8049,26.0
54,67.454,27.0
56,67.6359,28.0
58,64.5436,29.0
60,64.8603,30.0
62,69.7042,31.0
64,66.1776,32.0
66,65.1576,33.0
68,65.3424,34.0
70,63.7694,35.0
72,63.9407,36.0
74,60.5085,37.0
76,61.4263,38.0
78,63.0326,39.0
80,59.3112,40.0
82,63.5247,41.0
84,63.1576,42.0
86,59.5502,43.0
88,62.4937,44.0
90,61.0513,45.0
92,62.5375,46.0
94,64.5367,47.0
96,59.2299,48.0
98,61.1485,49.0
100,59.7468,50.0
102,53.5192,51.0
104,56.3239,52.0
106,57.8584,53.0
108,61.2563,54.0
110,67.0932,55.0
112,64.0055,56.0
114,61.1931,57.0
116,63.0503,58.0
118,60.2761,59.0
120,58.03,60.0
122,59.7842,61.0
124,55.9763,62.0
126,58.5143,63.0
128,59.1789,64.0
130,56.1563,65.0
132,58.2649,66.0
134,58.5143,67.0
136,58.5143,68.0
138,63.5789,69.0
140,61.8912,70.0
142,60.0176,71.0
144,61.0876,72.0
146,58.062,73.0
148,57.5605,74.0
150,60.6724,75.0
152,57.9793,76.0
154,58.1654,77.0
156,60.3357,78.0
158,58.8442,79.0
160,61.7972,80.0
162,62.2705,81.0
164,60.3881,82.0
166,62.8112,83.0
168,60.4677,84.0
170,59.6939,85.0
172,62.8054,86.0
174,59.3123,87.0
176,60.989,88.0
178,63.8623,89.0
180,59.0322,90.0
182,56.9944,91.0
184,60.7118,92.0
186,58.0127,93.0
188,59.3429,94.0
190,58.992,95.0
192,55.0064,96.0
194,56.4931,97.0
196,56.6476,98.0
198,56.7225,99.0
200,59.2604,100.0
202,58.0779,101.0
204,56.0401,102.0
206,56.7563,103.0
208,55.6101,104.0
210,53.9279,105.0
212,55.9154,106.0
214,57.3925,107.0
216,56.0319,108.0
218,58.3397,109.0
220,56.3571,110.0
222,54.8571,111.0
224,58.2117,112.0
226,54.6697,113.0
228,55.3844,114.0
230,57.1475,115.0
232,56.4929,116.0
234,57.8117,117.0
236,58.3165,118.0
238,57.4258,119.0
240,59.9719,120.0
242,60.0093,121.0
244,56.9353,122.0
246,58.025,123.0
248,59.18600000000001,124.0
250,57.5717,125.0
252,58.266999999999996,126.0
254,58.8334,127.0
256,57.1378,128.0
258,58.0523,129.0
260,59.483000000000004,130.0
262,58.3529,131.0
264,59.6148,132.0
266,62.1152,133.0
268,60.769,134.0
270,63.101000000000006,135.0
272,62.775,136.0
274,59.5789,137.0
276,59.2756,138.0
278,58.5384,139.0
280,56.7451,140.0
282,57.2765,141.0
284,57.2304,142.0
286,55.7579,143.0
288,57.0731,144.0
290,58.568999999999996,145.0
292,56.6166,146.0
294,58.9635,147.0
296,57.9623,148.0
298,55.7334,149.0
300,58.8912,150.0
302,56.2859,151.0
304,51.3891,152.0
306,51.056999999999995,153.0
308,51.056999999999995,154.0
310,51.056999999999995,155.0
312,51.056999999999995,156.0
314,61.066,157.0
316,56.4706,158.0
318,55.3907,159.0
320,55.0892,160.0
322,56.0109,161.0
324,55.8206,162.0
326,55.075,163.0
328,54.2831,164.0
330,53.8123,165.0
332,53.9503,166.0
334,54.446999999999996,167.0
336,54.1887,168.0
338,52.7835,169.0
340,52.7835,170.0
342,53.7987,171.0
344,53.3754,172.0
346,52.8746,173.0
348,54.9811,174.0
350,57.4999,175.0
352,56.4291,176.0
354,56.4506,177.0
356,59.3658,178.0
358,57.2833,179.0
360,58.4873,180.0
362,61.1878,181.0
364,57.1395,182.0
366,57.8441,183.0
368,61.0637,184.0
370,60.4703,185.0
372,61.3189,186.0
374,61.957,187.0
376,60.985,188.0
378,63.1021,189.0
380,61.4716,190.0
382,61.4702,191.0
384,63.128,192.0
386,62.6224,193.0
388,62.4393,194.0
390,61.3724,195.0
392,59.4217,196.0
394,60.9333,197.0
396,62.5605,198.0
398,62.8726,199.0
400,65.2237,200.0
402,65.9874,201.0
404,68.8797,202.0
406,70.3407,203.0
408,66.0378,204.0
410,63.6002,205.0
412,63.0285,206.0
414,60.6786,207.0
416,60.9925,208.0
418,61.515,209.0
420,60.3783,210.0
422,61.8318,211.0
424,62.0681,212.0
426,60.1837,213.0
428,60.6986,214.0
430,60.5048,215.0
432,58.809,216.0
434,58.7835,217.0
436,59.527,218.0
438,59.4224,219.0
440,59.2233,220.0
442,58.7803,221.0
444,60.0613,222.0
446,59.4752,223.0
448,56.7466,224.0
450,57.7528,225.0
452,59.4195,226.0
454,57.7012,227.0
456,58.3581,228.0
458,58.4727,229.0
460,58.2424,230.0
462,61.2494,231.0
464,59.9744,232.0
466,58.9152,233.0
468,60.0737,234.0
470,56.9074,235.0
472,62.0187,236.0
474,65.9147,237.0
476,63.4868,238.0
478,65.1407,239.0
480,65.2671,240.0
482,61.6566,241.0
484,60.6374,242.0
486,60.5953,243.0
488,60.5389,244.0
490,62.2512,245.0
492,60.4514,246.0
494,58.2922,247.0
496,59.6587,248.0
498,59.3697,249.0
500,58.1253,250.0
502,59.1954,251.0
504,59.4286,252.0
506,58.8142,253.0
508,60.9177,254.0
510,63.2725,255.0
512,63.5527,256.0
514,63.5527,257.0
516,63.5527,258.0
518,64.206,259.0
520,64.206,260.0
522,62.3162,261.0
524,62.2488,262.0
526,62.9913,263.0
528,61.8635,264.0
530,62.4598,265.0
532,62.7787,266.0
534,61.1125,267.0
536,61.3782,268.0
538,60.3976,269.0
540,58.3814,270.0
542,59.4508,271.0
544,59.3933,272.0
546,58.8362,273.0
548,61.3609,274.0
550,61.3609,275.0
552,79.7529,276.0
554,76.1195,277.0
556,74.8361,278.0
558,72.619,279.0
560,70.5486,280.0
562,64.9476,281.0
564,63.4122,282.0
566,64.3133,283.0
568,62.7295,284.0
570,71.6451,285.0
572,71.6451,286.0
574,64.4391,287.0
576,64.1994,288.0
578,62.7935,289.0
580,57.2642,290.0
582,54.8714,291.0
584,57.0359,292.0
586,54.7689,293.0
588,54.9553,294.0
590,57.0082,295.0
592,56.3422,296.0
594,55.1648,297.0
596,56.4017,298.0
598,57.2575,299.0
600,61.0904,300.0
602,62.8108,301.0
604,59.6,302.0
606,61.5937,303.0
608,61.5937,304.0
610,70.39399999999999,305.0
612,66.4246,306.0
614,63.4383,307.0
616,63.4444,308.0
618,64.8615,309.0
620,66.27,310.0
622,68.6769,311.0
624,70.9453,312.0
626,71.6583,313.0
628,70.88,314.0
630,62.6428,315.0
632,63.3807,316.0
634,65.3848,317.0
636,63.7373,318.0
638,67.4887,319.0
640,71.0118,320.0
642,68.0959,321.0
644,66.6377,322.0
646,62.8723,323.0
648,58.5388,324.0
650,57.3393,325.0
652,55.1634,326.0
654,54.343999999999994,327.0
656,55.9709,328.0
658,58.0162,329.0
660,58.211000000000006,330.0
662,58.7687,331.0
664,60.2198,332.0
666,59.1119,333.0
668,57.7437,334.0
670,58.8578,335.0
672,59.2018,336.0
674,56.7537,337.0
676,55.87,338.0
678,57.1814,339.0
680,56.1222,340.0
682,59.527,341.0
684,59.527,342.0
686,59.527,343.0
688,75.1428,344.0
690,76.0175,345.0
692,72.3823,346.0
694,71.3288,347.0
696,64.5144,348.0
698,60.7694,349.0
700,61.3824,350.0
702,60.7494,351.0
704,61.5506,352.0
706,62.6903,353.0
708,60.6045,354.0
710,59.428000000000004,355.0
712,58.306000000000004,356.0
714,56.973,357.0
716,55.3695,358.0
718,57.0723,359.0
720,57.0723,360.0
722,57.0723,361.0
724,70.4122,362.0
726,65.3061,363.0
728,64.0175,364.0
730,58.172,365.0
732,54.5628,366.0
734,56.7243,367.0
736,55.8889,368.0
738,55.5488,369.0
740,56.7991,370.0
742,57.2347,371.0
744,56.9909,372.0
746,57.3316,373.0
748,57.2214,374.0
750,57.3631,375.0
752,58.6506,376.0
754,57.183,377.0
756,55.7265,378.0
758,57.8784,379.0
760,56.3503,380.0
762,57.448,381.0
764,62.5332,382.0
766,59.4532,383.0
768,58.6743,384.0
770,61.3737,385.0
772,60.688,386.0
774,62.0153,387.0
776,64.2195,388.0
778,62.1717,389.0
780,60.0,390.0
782,59.6576,391.0
784,58.4461,392.0
786,58.2799,393.0
788,58.2799,394.0
790,49.583999999999996,395.0
792,60.04,396.0
794,60.6296,397.0
796,63.8244,398.0
798,68.4494,399.0
800,67.671,400.0
802,68.7667,401.0
804,65.2953,402.0
806,57.8753,403.0
808,58.1877,404.0
810,59.6858,405.0
812,58.6431,406.0
814,61.7688,407.0
816,61.1633,408.0
818,61.1943,409.0
820,64.3115,410.0
822,63.4796,411.0
824,62.4237,412.0
826,62.4491,413.0
828,60.8345,414.0
830,61.1012,415.0
832,61.5938,416.0
834,60.178999999999995,417.0
836,61.6829,418.0
838,62.9746,419.0
840,62.3072,420.0
842,62.838,421.0
844,62.4147,422.0
846,61.5159,423.0
848,61.4695,424.0
850,59.3838,425.0
852,58.3175,426.0
854,59.54600000000001,427.0
856,59.4641,428.0
858,59.3747,429.0
860,61.0704,430.0
862,61.248999999999995,431.0
864,61.5389,432.0
866,62.0606,433.0
868,60.7398,434.0
870,62.493,435.0
872,62.5569,436.0
874,60.7688,437.0
876,61.8801,438.0
878,60.1392,439.0
880,59.6505,440.0
882,61.3889,441.0
884,60.4969,442.0
886,59.1697,443.0
888,60.595,444.0
890,60.9524,445.0
892,63.4343,446.0
894,66.4704,447.0
896,62.5681,448.0
898,60.5667,449.0
900,61.7391,450.0
902,59.6623,451.0
904,57.6656,452.0
906,60.2033,453.0
908,59.6676,454.0
910,60.1006,455.0
912,62.0299,456.0
914,61.8533,457.0
916,63.7589,458.0
918,65.3516,459.0
920,61.4413,460.0
922,61.508,461.0
924,61.8811,462.0
926,59.0702,463.0
928,59.0355,464.0
930,60.8844,465.0
932,59.8817,466.0
934,60.553999999999995,467.0
936,60.8484,468.0
938,59.4858,469.0
940,60.0336,470.0
942,62.1862,471.0
944,61.9355,472.0
946,62.1016,473.0
948,61.1057,474.0
950,58.1342,475.0
952,58.3859,476.0
954,60.4441,477.0
956,60.0881,478.0
958,62.1045,479.0
960,64.5502,480.0
962,63.2853,481.0
964,65.0307,482.0
966,64.5643,483.0
968,62.7528,484.0
970,63.8963,485.0
972,62.68899999999999,486.0
974,62.68899999999999,487.0
976,78.0176,488.0
978,92.295,489.0
980,92.295,490.0
982,92.295,491.0
984,130.371,492.0
986,81.9207,493.0
988,82.2721,494.0
990,83.615,495.0
992,80.9222,496.0
994,81.05199999999999,497.0
996,122.26700000000001,498.0
998,84.0707,499.0
1000,74.5399,500.0
1002,134.326,501.0
1004,129.697,502.0
1006,77.0864,503.0
1008,73.0455,504.0
1010,68.1666,505.0
1012,68.5308,506.0
1014,62.034,507.0
1016,61.2147,508.0
1018,61.5711,509.0
1020,59.3898,510.0
1022,61.1653,511.0
1024,62.0602,512.0
1026,63.0589,513.0
1028,66.6863,514.0
1030,67.2753,515.0
1032,69.8252,516.0
1034,66.5398,517.0
1036,60.4291,518.0
1038,66.2388,519.0
1040,60.8835,520.0
1042,59.5668,521.0
1044,63.3815,522.0
1046,61.1547,523.0
1048,61.3806,524.0
1050,64.5744,525.0
1052,56.7669,526.0
1054,56.7669,527.0
1056,55.1279,528.0
1058,60.8009,529.0
1060,63.7432,530.0
1062,62.6089,531.0
1064,59.2027,532.0
1066,63.4038,533.0
1068,67.3461,534.0
1070,67.5734,535.0
1072,70.8086,536.0
1074,69.3822,537.0
1076,66.3085,538.0
1078,65.6455,539.0
1080,62.7497,540.0
1082,61.07899999999999,541.0
1084,63.1554,542.0
1086,61.8856,543.0
1088,62.0667,544.0
1090,63.8902,545.0
1092,61.9515,546.0
1094,61.2145,547.0
1096,62.1044,548.0
1098,59.1952,549.0
1100,59.6551,550.0
1102,60.8069,551.0
1104,59.4261,552.0
1106,60.2717,553.0
1108,63.1631,554.0
1110,60.6365,555.0
1112,61.4209,556.0
1114,63.1858,557.0
1116,60.7533,558.0
1118,60.6224,559.0
1120,61.6892,560.0
1122,61.0523,561.0
1124,62.5367,562.0
1126,62.7891,563.0
1128,63.4041,564.0
1130,68.0043,565.0
1132,68.5903,566.0
1134,64.7981,567.0
1136,65.2811,568.0
1138,61.3108,569.0
1140,57.9075,570.0
1142,60.4954,571.0
1144,61.1197,572.0
1146,59.608999999999995,573.0
1148,61.3508,574.0
1150,61.8109,575.0
1152,60.8489,576.0
1154,60.6053,577.0
1156,64.008,578.0
1158,62.3818,579.0
1160,60.248999999999995,580.0
1162,62.4793,581.0
1164,60.6561,582.0
1166,59.9196,583.0
1168,62.4584,584.0
1170,61.1047,585.0
1172,58.8835,586.0
1174,61.001999999999995,587.0
1176,58.3566,588.0
1178,55.8037,589.0
1180,58.626000000000005,590.0
1182,58.1844,591.0
1184,56.8356,592.0
1186,62.0241,593.0
1188,63.2994,594.0
1190,63.2994,595.0
1192,61.7506,596.0
1194,70.7725,597.0
1196,69.9801,598.0
1198,68.5503,599.0
1200,64.4675,600.0
1202,61.0438,601.0
1204,62.8971,602.0
1206,61.4013,603.0
1208,60.8605,604.0
1210,63.7854,605.0
1212,63.2465,606.0
1214,63.255,607.0
1216,65.6157,608.0
1218,62.5844,609.0
1220,61.1117,610.0
1222,62.4078,611.0
1224,60.4724,612.0
1226,61.2924,613.0
1228,63.0083,614.0
1230,61.6166,615.0
1232,62.0198,616.0
1234,62.0971,617.0
1236,59.2566,618.0
1238,62.5224,619.0
1240,66.592,620.0
1242,65.5319,621.0
1244,69.3303,622.0
1246,68.1587,623.0
1248,59.8366,624.0
1250,58.5601,625.0
1252,59.2494,626.0
1254,57.3788,627.0
1256,62.5376,628.0
1258,62.5094,629.0
1260,60.5493,630.0
1262,64.4331,631.0
1264,59.141999999999996,632.0
1266,57.5281,633.0
1268,62.0806,634.0
1270,60.2443,635.0
1272,60.6792,636.0
1274,62.9735,637.0
1276,62.0438,638.0
1278,64.7651,639.0
1280,67.8726,640.0
1282,64.8038,641.0
1284,65.6533,642.0
1286,65.0297,643.0
1288,60.5716,644.0
1290,61.0956,645.0
1292,61.0166,646.0
1294,58.8888,647.0
1296,60.5985,648.0
1298,60.6408,649.0
1300,59.8405,650.0
1302,62.4041,651.0
1304,61.9301,652.0
1306,60.3938,653.0
1308,62.9805,654.0
