,Unnamed: 0,ID,volume,earning,holding,session
1,0,M1,42.0,30305,4,22
2,1,M2,68.0,15450,18,22
3,2,M3,31.0,28050,1,22
4,3,M4,52.0,11535,42,22
5,4,M5,28.0,26870,0,22
6,5,M6,46.0,18150,18,22
7,6,M7,90.0,10660,42,22
8,7,M8,25.0,23780,3,22
