,Unnamed: 0,ID,volume,earning,holding,session
1,0,M1,75.0,24370,53,7
2,1,M2,132.0,22530,0,7
3,2,M3,85.0,25065,11,7
4,3,M4,70.0,25615,0,7
5,4,M5,47.0,21010,40,7
6,5,M6,125.0,27290,0,7
7,6,M7,64.0,23870,8,7
8,7,M8,28.0,23850,16,7
