,hr,time
0,77.1859,0.0
2,75.2977,1.0
4,70.7834,2.0
6,72.7266,3.0
8,73.1917,4.0
10,70.2849,5.0
12,70.8792,6.0
14,73.4865,7.0
16,130.849,8.0
18,83.5199,9.0
20,81.9114,10.0
22,81.1575,11.0
24,76.1594,12.0
26,75.0184,13.0
28,77.76100000000001,14.0
30,83.1507,15.0
32,81.0944,16.0
34,79.0428,17.0
36,79.9824,18.0
38,79.5536,19.0
40,77.6692,20.0
42,77.1334,21.0
44,80.0781,22.0
46,74.6767,23.0
48,69.8141,24.0
50,68.596,25.0
52,73.5711,26.0
54,86.3271,27.0
56,88.8148,28.0
58,81.2554,29.0
60,72.3925,30.0
62,71.4261,31.0
64,72.0507,32.0
66,69.2005,33.0
68,71.1266,34.0
70,70.6137,35.0
72,68.3388,36.0
74,70.4516,37.0
76,72.2116,38.0
78,74.0735,39.0
80,71.9712,40.0
82,78.91,41.0
84,85.5652,42.0
86,77.9974,43.0
88,72.5772,44.0
90,69.6484,45.0
92,69.1076,46.0
94,71.0127,47.0
96,74.7575,48.0
98,70.8247,49.0
100,69.9772,50.0
102,75.7949,51.0
104,73.7447,52.0
106,73.9535,53.0
108,73.5858,54.0
110,77.3322,55.0
112,75.9502,56.0
114,76.5686,57.0
116,79.7885,58.0
118,75.3902,59.0
120,71.0813,60.0
122,70.6726,61.0
124,87.6198,62.0
126,97.9455,63.0
128,109.32,64.0
130,73.3278,65.0
132,72.4961,66.0
134,73.5229,67.0
136,78.92,68.0
138,76.8825,69.0
140,73.2441,70.0
142,72.0047,71.0
144,69.7483,72.0
146,68.0079,73.0
148,69.8853,74.0
150,67.1957,75.0
152,67.0149,76.0
154,69.0959,77.0
156,69.4284,78.0
158,69.5833,79.0
160,70.9295,80.0
162,70.6997,81.0
164,66.4158,82.0
166,65.6958,83.0
168,68.8722,84.0
170,68.6615,85.0
172,67.1099,86.0
174,67.7144,87.0
176,67.0568,88.0
178,66.8313,89.0
180,67.1102,90.0
182,67.6933,91.0
184,67.5088,92.0
186,69.2461,93.0
188,69.564,94.0
190,68.1356,95.0
192,69.5606,96.0
194,69.9717,97.0
196,69.7072,98.0
198,72.1258,99.0
200,71.5159,100.0
202,70.3067,101.0
204,73.3328,102.0
206,73.4207,103.0
208,72.0517,104.0
210,72.9437,105.0
212,77.4423,106.0
214,73.7735,107.0
216,74.8581,108.0
218,74.8581,109.0
220,73.0466,110.0
222,75.3144,111.0
224,73.6903,112.0
226,72.7037,113.0
228,73.707,114.0
230,72.4922,115.0
232,69.9188,116.0
234,71.3103,117.0
236,73.3683,118.0
238,71.1301,119.0
240,72.0521,120.0
242,71.8775,121.0
244,70.9748,122.0
246,71.6551,123.0
248,73.3939,124.0
250,71.4091,125.0
252,71.4482,126.0
254,71.6683,127.0
256,67.5759,128.0
258,68.3453,129.0
260,71.3822,130.0
262,72.4635,131.0
264,70.7211,132.0
266,72.4889,133.0
268,74.3149,134.0
270,70.2436,135.0
272,70.4567,136.0
274,69.7082,137.0
276,69.4142,138.0
278,71.3458,139.0
280,71.9673,140.0
282,70.8943,141.0
284,74.0677,142.0
286,73.6765,143.0
288,71.1111,144.0
290,72.7832,145.0
292,73.4007,146.0
294,70.7026,147.0
296,69.11,148.0
298,72.8176,149.0
300,74.9324,150.0
302,72.3957,151.0
304,73.286,152.0
306,73.9049,153.0
308,70.4213,154.0
310,69.2458,155.0
312,70.2462,156.0
314,69.3418,157.0
316,67.9892,158.0
318,70.068,159.0
320,68.7356,160.0
322,67.3208,161.0
324,68.7658,162.0
326,69.0877,163.0
328,68.2667,164.0
330,68.6506,165.0
332,72.3471,166.0
334,70.4334,167.0
336,70.1161,168.0
338,71.6471,169.0
340,70.1523,170.0
342,68.1228,171.0
344,69.3348,172.0
346,71.9217,173.0
348,69.2954,174.0
350,71.8643,175.0
352,71.8643,176.0
354,72.1643,177.0
356,68.5383,178.0
358,68.6969,179.0
360,69.6472,180.0
362,68.8667,181.0
364,70.1303,182.0
366,75.3059,183.0
368,72.3809,184.0
370,71.5196,185.0
372,74.2771,186.0
374,71.742,187.0
376,70.2141,188.0
378,70.9198,189.0
380,73.2231,190.0
382,72.0051,191.0
384,70.8817,192.0
386,74.2842,193.0
388,72.2519,194.0
390,71.3409,195.0
392,74.1097,196.0
394,73.8352,197.0
396,71.0324,198.0
398,70.831,199.0
400,72.7745,200.0
402,71.7757,201.0
404,72.1408,202.0
406,76.7065,203.0
408,72.0196,204.0
410,71.0412,205.0
412,73.6327,206.0
414,70.8281,207.0
416,70.1304,208.0
418,74.274,209.0
420,74.9427,210.0
422,71.4789,211.0
424,71.2357,212.0
426,72.7353,213.0
428,69.5718,214.0
430,69.3847,215.0
432,71.0223,216.0
434,70.4831,217.0
436,71.2456,218.0
438,74.818,219.0
440,73.8486,220.0
442,70.2622,221.0
444,69.6837,222.0
446,69.6985,223.0
448,67.6087,224.0
450,71.3236,225.0
452,72.5179,226.0
454,69.1786,227.0
456,67.808,228.0
458,73.0621,229.0
460,71.3409,230.0
462,71.579,231.0
464,72.1228,232.0
466,71.4,233.0
468,75.2121,234.0
470,81.1135,235.0
472,80.7542,236.0
474,73.6332,237.0
476,69.1141,238.0
478,70.1684,239.0
480,71.1683,240.0
482,71.5329,241.0
484,74.6407,242.0
486,73.8622,243.0
488,73.2372,244.0
490,78.4022,245.0
492,76.4092,246.0
494,73.8196,247.0
496,73.125,248.0
498,72.531,249.0
500,70.6104,250.0
502,72.8887,251.0
504,69.9981,252.0
506,70.6412,253.0
508,73.6122,254.0
510,72.9273,255.0
512,72.6433,256.0
514,73.4499,257.0
516,72.1182,258.0
518,72.0533,259.0
520,74.9229,260.0
522,74.2825,261.0
524,71.0861,262.0
526,70.2975,263.0
528,72.2648,264.0
530,70.1012,265.0
532,69.098,266.0
534,71.4313,267.0
536,73.0234,268.0
538,72.2217,269.0
540,71.3307,270.0
542,73.9331,271.0
544,74.0241,272.0
546,86.6131,273.0
548,75.9994,274.0
550,71.0593,275.0
552,68.0515,276.0
554,68.4667,277.0
556,67.7853,278.0
558,67.3409,279.0
560,70.195,280.0
562,71.3065,281.0
564,68.1044,282.0
566,69.2298,283.0
568,71.4825,284.0
570,69.6597,285.0
572,67.3856,286.0
574,69.3724,287.0
576,68.0259,288.0
578,67.6974,289.0
580,69.2502,290.0
582,69.3452,291.0
584,67.7292,292.0
586,73.4275,293.0
588,73.4275,294.0
590,73.4275,295.0
592,106.094,296.0
594,84.49799999999999,297.0
596,86.361,298.0
598,84.3506,299.0
600,79.4087,300.0
602,74.3601,301.0
604,71.5828,302.0
606,72.1093,303.0
608,76.0518,304.0
610,97.0636,305.0
612,109.212,306.0
614,74.0405,307.0
616,74.3103,308.0
618,68.8352,309.0
620,66.4643,310.0
622,67.7075,311.0
624,68.531,312.0
626,65.697,313.0
628,66.6487,314.0
630,70.3548,315.0
632,69.7307,316.0
634,65.2296,317.0
636,64.7858,318.0
638,66.5608,319.0
640,69.0849,320.0
642,67.5415,321.0
644,67.0072,322.0
646,68.6424,323.0
648,72.0825,324.0
650,69.5539,325.0
652,65.692,326.0
654,62.6931,327.0
656,64.7722,328.0
658,65.4382,329.0
660,62.6132,330.0
662,61.4689,331.0
664,63.4915,332.0
666,65.6334,333.0
668,64.7111,334.0
670,63.1651,335.0
672,68.2669,336.0
674,70.5729,337.0
676,69.1636,338.0
678,69.1636,339.0
680,85.9828,340.0
682,110.516,341.0
684,78.7723,342.0
686,87.2516,343.0
688,71.7781,344.0
690,68.3006,345.0
692,69.0853,346.0
694,71.3937,347.0
696,71.6084,348.0
698,71.6084,349.0
700,74.9117,350.0
702,71.2171,351.0
704,72.176,352.0
706,74.7405,353.0
708,73.8524,354.0
710,75.2243,355.0
712,77.0466,356.0
714,73.2418,357.0
716,92.7787,358.0
718,113.82600000000001,359.0
720,141.893,360.0
722,127.334,361.0
724,127.334,362.0
726,77.1616,363.0
728,80.4374,364.0
730,79.31,365.0
732,74.7402,366.0
734,76.2542,367.0
736,77.9487,368.0
738,73.0952,369.0
740,74.6484,370.0
742,77.2934,371.0
744,75.9861,372.0
746,80.4358,373.0
748,82.2258,374.0
750,77.8435,375.0
752,80.3016,376.0
754,72.9397,377.0
756,69.378,378.0
758,80.4612,379.0
760,76.9827,380.0
762,77.8446,381.0
764,82.4505,382.0
766,79.4436,383.0
768,76.5307,384.0
770,78.6497,385.0
772,77.0627,386.0
774,74.3838,387.0
776,78.2908,388.0
778,82.4478,389.0
780,73.971,390.0
782,73.7087,391.0
784,73.4118,392.0
786,71.4628,393.0
788,75.6261,394.0
790,79.8677,395.0
792,78.846,396.0
794,79.4103,397.0
796,76.1535,398.0
798,72.6962,399.0
800,73.7878,400.0
802,72.7026,401.0
804,69.8749,402.0
806,72.2077,403.0
808,73.6765,404.0
810,72.7475,405.0
812,72.7475,406.0
814,72.7475,407.0
816,105.956,408.0
818,69.1155,409.0
820,74.6413,410.0
822,71.1753,411.0
824,69.8008,412.0
826,69.0071,413.0
828,71.9012,414.0
830,71.5377,415.0
832,72.5504,416.0
834,74.8717,417.0
836,74.3316,418.0
838,71.2689,419.0
840,71.1319,420.0
842,68.748,421.0
844,67.5427,422.0
846,70.4159,423.0
848,69.3368,424.0
850,68.9877,425.0
852,71.5531,426.0
854,72.309,427.0
856,70.3174,428.0
858,71.6612,429.0
860,72.5352,430.0
862,71.7848,431.0
864,72.5219,432.0
866,71.5697,433.0
868,68.9747,434.0
870,69.244,435.0
872,71.8216,436.0
874,69.7216,437.0
876,71.84899999999999,438.0
878,70.3526,439.0
880,67.7932,440.0
882,68.4252,441.0
884,70.6487,442.0
886,67.2521,443.0
888,66.5532,444.0
890,69.9074,445.0
892,70.5638,446.0
894,71.3089,447.0
896,73.9283,448.0
898,70.3274,449.0
900,69.5692,450.0
902,72.4983,451.0
904,72.533,452.0
906,71.0882,453.0
908,73.3616,454.0
910,70.5403,455.0
912,68.8504,456.0
914,70.973,457.0
916,69.0823,458.0
918,69.1502,459.0
920,70.8804,460.0
922,72.2895,461.0
924,70.2392,462.0
926,69.5757,463.0
928,74.2775,464.0
930,73.5674,465.0
932,71.2282,466.0
934,68.5118,467.0
936,66.6796,468.0
938,65.2685,469.0
940,64.9622,470.0
942,67.6864,471.0
944,70.3445,472.0
946,68.6045,473.0
948,68.779,474.0
950,70.1904,475.0
952,67.1324,476.0
954,64.1803,477.0
956,65.868,478.0
958,64.3815,479.0
960,64.3485,480.0
962,66.2758,481.0
964,68.312,482.0
966,68.6208,483.0
968,72.6519,484.0
970,70.9536,485.0
972,65.4587,486.0
974,64.5524,487.0
976,67.0776,488.0
978,65.8817,489.0
980,65.8888,490.0
982,68.3627,491.0
984,68.6182,492.0
986,66.7938,493.0
988,67.8671,494.0
990,67.8671,495.0
992,67.8671,496.0
994,68.8322,497.0
996,67.5029,498.0
998,66.2764,499.0
1000,66.217,500.0
1002,68.4494,501.0
1004,74.5644,502.0
1006,71.8769,503.0
1008,70.6131,504.0
1010,70.7029,505.0
1012,69.2113,506.0
1014,66.2571,507.0
1016,67.3323,508.0
1018,69.7967,509.0
1020,66.8331,510.0
1022,67.305,511.0
1024,71.7817,512.0
1026,71.6428,513.0
1028,70.6458,514.0
1030,71.7226,515.0
1032,71.6221,516.0
1034,69.6427,517.0
1036,70.561,518.0
1038,68.3933,519.0
1040,66.763,520.0
1042,69.1236,521.0
1044,72.5664,522.0
1046,71.0447,523.0
1048,72.6389,524.0
1050,76.2593,525.0
1052,74.7597,526.0
1054,73.4509,527.0
1056,73.0124,528.0
1058,70.2265,529.0
1060,69.9753,530.0
1062,72.3159,531.0
1064,69.6667,532.0
1066,69.3424,533.0
1068,72.962,534.0
1070,72.888,535.0
1072,71.462,536.0
1074,71.2381,537.0
1076,71.4408,538.0
1078,69.7557,539.0
1080,69.0745,540.0
1082,71.9306,541.0
1084,69.9772,542.0
1086,72.0736,543.0
1088,73.7147,544.0
1090,73.6737,545.0
1092,76.3379,546.0
1094,73.2904,547.0
1096,70.6568,548.0
1098,73.34100000000001,549.0
1100,74.9721,550.0
1102,70.6198,551.0
1104,71.6763,552.0
1106,72.2296,553.0
1108,71.5598,554.0
1110,71.7663,555.0
1112,76.1305,556.0
1114,75.5462,557.0
1116,76.6233,558.0
1118,81.7773,559.0
1120,79.8977,560.0
1122,80.4631,561.0
1124,79.0634,562.0
1126,75.8485,563.0
1128,75.5378,564.0
1130,75.5378,565.0
1132,79.5834,566.0
1134,79.899,567.0
1136,81.1024,568.0
1138,80.0342,569.0
1140,82.9814,570.0
1142,82.5844,571.0
1144,78.9048,572.0
1146,82.2652,573.0
1148,86.333,574.0
1150,92.8625,575.0
1152,86.2393,576.0
1154,84.5304,577.0
1156,79.8511,578.0
1158,80.9031,579.0
1160,83.571,580.0
1162,79.6418,581.0
