,hr,time
0,29.2015,0.0
2,29.2015,1.0
4,29.2015,2.0
6,44.1853,3.0
8,39.5876,4.0
10,31.9373,5.0
12,26.5744,6.0
14,31.4135,7.0
16,41.2349,8.0
18,44.5679,9.0
20,72.8749,10.0
22,49.6404,11.0
24,69.0021,12.0
26,92.9612,13.0
28,64.1597,14.0
30,65.2754,15.0
32,125.72399999999999,16.0
34,193.893,17.0
36,100.973,18.0
38,94.7908,19.0
40,94.3241,20.0
42,99.60799999999999,21.0
44,93.8652,22.0
46,147.137,23.0
48,135.475,24.0
50,92.8848,25.0
52,66.251,26.0
54,45.4806,27.0
56,91.5618,28.0
58,99.1236,29.0
60,109.56700000000001,30.0
62,80.115,31.0
64,83.1376,32.0
66,84.4657,33.0
68,81.7923,34.0
70,79.4984,35.0
72,84.1903,36.0
74,82.6041,37.0
76,78.1331,38.0
78,88.8259,39.0
80,105.774,40.0
82,76.0192,41.0
84,77.3455,42.0
86,79.6909,43.0
88,52.3134,44.0
90,49.3566,45.0
92,73.9531,46.0
94,74.3769,47.0
96,75.5428,48.0
98,79.5574,49.0
100,84.6561,50.0
102,83.0048,51.0
104,77.7215,52.0
106,79.0809,53.0
108,79.9486,54.0
110,86.4143,55.0
112,84.7737,56.0
114,81.5997,57.0
116,81.3725,58.0
118,81.2485,59.0
120,81.2485,60.0
122,90.4263,61.0
124,73.5647,62.0
126,73.5647,63.0
128,73.5647,64.0
130,92.9259,65.0
132,86.7731,66.0
134,82.2008,67.0
136,64.2335,68.0
138,51.4573,69.0
140,51.4573,70.0
142,92.4826,71.0
144,121.007,72.0
146,109.37700000000001,73.0
148,120.554,74.0
150,94.5505,75.0
152,76.5851,76.0
154,77.8209,77.0
156,78.9278,78.0
158,79.4349,79.0
160,87.535,80.0
162,87.0175,81.0
164,83.329,82.0
166,78.6469,83.0
168,78.9912,84.0
170,82.3656,85.0
172,81.5966,86.0
174,84.8817,87.0
176,84.8817,88.0
178,88.2759,89.0
180,84.7894,90.0
182,81.7677,91.0
184,79.1803,92.0
186,77.7385,93.0
188,77.925,94.0
190,110.904,95.0
192,60.9142,96.0
194,82.5821,97.0
196,78.4912,98.0
198,74.7256,99.0
200,79.4355,100.0
202,82.2755,101.0
204,80.5939,102.0
206,61.6338,103.0
208,41.5268,104.0
210,41.5268,105.0
212,77.6679,106.0
214,80.5635,107.0
216,81.3107,108.0
218,83.1274,109.0
220,92.4947,110.0
222,90.5127,111.0
224,84.5139,112.0
226,82.4162,113.0
228,75.9453,114.0
230,75.9453,115.0
232,75.9453,116.0
234,131.317,117.0
236,71.2768,118.0
238,117.189,119.0
240,73.1736,120.0
242,79.7442,121.0
244,40.2621,122.0
246,63.1251,123.0
248,148.668,124.0
250,90.1035,125.0
252,91.0508,126.0
254,168.579,127.0
256,98.3957,128.0
258,80.263,129.0
260,79.4189,130.0
262,77.7624,131.0
264,77.0292,132.0
266,79.1218,133.0
268,91.0351,134.0
270,92.196,135.0
272,87.4933,136.0
274,79.4469,137.0
276,79.2652,138.0
278,84.6122,139.0
280,85.9661,140.0
282,81.7824,141.0
284,78.0135,142.0
286,89.3817,143.0
288,89.3817,144.0
290,102.84899999999999,145.0
292,87.8868,146.0
294,93.2123,147.0
296,90.1776,148.0
298,82.2915,149.0
300,88.9256,150.0
302,89.2371,151.0
304,86.0132,152.0
306,81.0549,153.0
308,74.9495,154.0
310,76.5662,155.0
312,78.7502,156.0
314,77.1122,157.0
316,77.5263,158.0
318,79.2834,159.0
320,78.5678,160.0
322,78.8593,161.0
324,78.5397,162.0
326,86.3154,163.0
328,88.2914,164.0
330,85.446,165.0
332,79.7374,166.0
334,77.5431,167.0
336,76.8741,168.0
338,75.9827,169.0
340,74.9236,170.0
342,77.999,171.0
344,83.6304,172.0
346,89.4438,173.0
348,86.9527,174.0
350,81.833,175.0
352,77.0499,176.0
354,79.1779,177.0
356,81.1833,178.0
358,76.7097,179.0
360,73.4224,180.0
362,73.5866,181.0
364,75.4349,182.0
366,85.2217,183.0
368,86.0504,184.0
370,82.5521,185.0
372,77.3275,186.0
374,75.458,187.0
376,82.9748,188.0
378,83.7803,189.0
380,82.1265,190.0
382,77.7099,191.0
384,78.6974,192.0
386,86.4082,193.0
388,83.6453,194.0
390,79.9673,195.0
392,78.2575,196.0
394,86.1899,197.0
396,85.2429,198.0
398,81.9128,199.0
400,79.5641,200.0
402,79.5641,201.0
404,79.5641,202.0
406,99.9205,203.0
408,144.399,204.0
410,91.0747,205.0
412,91.0747,206.0
414,97.4229,207.0
416,92.87299999999999,208.0
418,88.3478,209.0
420,83.2465,210.0
422,78.8318,211.0
424,77.4046,212.0
426,78.0901,213.0
428,78.4678,214.0
430,79.3387,215.0
432,80.0884,216.0
434,85.6001,217.0
436,84.97200000000001,218.0
438,80.9751,219.0
440,75.7153,220.0
442,73.0487,221.0
444,72.4436,222.0
446,72.1536,223.0
448,73.3503,224.0
450,73.0949,225.0
452,74.9186,226.0
454,77.4604,227.0
456,79.2364,228.0
458,78.888,229.0
460,81.8302,230.0
462,88.8678,231.0
464,89.1961,232.0
466,85.2945,233.0
468,90.5682,234.0
470,89.6963,235.0
472,85.9747,236.0
474,81.9482,237.0
476,78.8132,238.0
478,76.328,239.0
480,75.5996,240.0
482,76.5448,241.0
484,78.3793,242.0
486,87.2085,243.0
488,86.1541,244.0
490,82.973,245.0
492,81.8489,246.0
494,82.2291,247.0
496,81.3847,248.0
498,84.7551,249.0
500,84.6444,250.0
502,88.985,251.0
504,94.1992,252.0
506,86.7491,253.0
508,92.9373,254.0
510,89.9176,255.0
512,91.8219,256.0
514,95.2442,257.0
516,93.1877,258.0
518,88.2481,259.0
520,81.6163,260.0
522,79.2891,261.0
524,93.9421,262.0
526,94.2863,263.0
528,103.165,264.0
530,103.165,265.0
532,99.0245,266.0
534,99.1224,267.0
536,91.6069,268.0
538,84.6389,269.0
540,79.2942,270.0
542,87.2053,271.0
544,94.7189,272.0
546,92.2053,273.0
548,96.5199,274.0
550,93.0517,275.0
552,84.1243,276.0
554,78.153,277.0
556,79.9621,278.0
558,89.1432,279.0
560,84.1348,280.0
562,81.4839,281.0
564,85.5763,282.0
566,90.2967,283.0
568,88.5836,284.0
570,84.8591,285.0
572,83.4206,286.0
574,82.7584,287.0
576,90.2611,288.0
578,88.803,289.0
580,84.8932,290.0
582,78.6378,291.0
584,75.665,292.0
586,82.546,293.0
588,82.7602,294.0
590,83.2444,295.0
592,83.2444,296.0
594,79.033,297.0
596,83.3584,298.0
598,89.0814,299.0
600,85.3302,300.0
602,81.5643,301.0
604,78.5393,302.0
606,78.252,303.0
608,78.4474,304.0
610,85.66,305.0
612,89.395,306.0
614,93.5514,307.0
616,94.0088,308.0
618,91.3109,309.0
620,85.45700000000001,310.0
622,84.5314,311.0
624,85.3588,312.0
626,105.9,313.0
628,91.1095,314.0
630,84.2147,315.0
632,58.6755,316.0
634,58.6755,317.0
636,58.6755,318.0
638,100.943,319.0
