account,email,owner,marketplace,session,period,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,16. just time,17. just second,,trade,fair value,trade price,mispricing,time mins,time secs,buy/sell
pert-josh,M4@bmm,4,288,6533,1,567,NULL,1246688,1246688,1246688,1246690,LIMIT,BUY,1,260,2018-08-24T04:10:52.007,2018-08-24T04:10:57.753,,04:10:52.007,04:10:52,0,750,#N/A,#N/A,00:00:00,0.00,1
pert-josh,M2@bmm,2,288,6533,1,567,NULL,1246689,1246689,1246689,0,LIMIT,SELL,1,5,2018-08-24T04:10:57.746,2018-08-24T04:10:57.753,,04:10:57.746,04:10:57,0,750,#N/A,#N/A,00:00:06,5.739,-1
pert-josh,M2@bmm,2,288,6533,1,567,NULL,1246690,1246689,1246689,1246688,LIMIT,SELL,1,260,2018-08-24T04:10:57.750,2018-08-24T04:10:57.753,,04:10:57.750,04:10:57,1,750,260,-490,00:00:06,5.743,-1
pert-josh,M8@bmm,8,288,6533,1,567,NULL,1246691,1246691,1246691,1246695,LIMIT,SELL,1,115,2018-08-24T04:11:02.288,2018-08-24T04:11:04.256,,04:11:02.288,04:11:02,0,750,#N/A,#N/A,00:00:10,10.281,-1
pert-josh,M1@bmm,1,288,6533,1,567,NULL,1246692,1246692,1246692,1246792,LIMIT,SELL,1,800,2018-08-24T04:11:03.027,2018-08-24T04:12:24.058,,04:11:03.027,04:11:03,0,750,#N/A,#N/A,00:00:11,11.020,-1
pert-josh,M7@bmm,7,288,6533,1,567,NULL,1246693,1246693,1246693,NULL,LIMIT,BUY,1,70,2018-08-24T04:11:03.254,2018-08-24T04:11:03.256,,04:11:03.254,04:11:03,0,750,#N/A,#N/A,00:00:11,11.247,1
pert-josh,M4@bmm,4,288,6533,1,567,NULL,1246694,1246694,1246694,0,LIMIT,BUY,1,255,2018-08-24T04:11:04.248,2018-08-24T04:11:04.256,,04:11:04.248,04:11:04,0,750,#N/A,#N/A,00:00:12,12.241,1
pert-josh,M4@bmm,4,288,6533,1,567,NULL,1246695,1246694,1246694,1246691,LIMIT,BUY,1,115,2018-08-24T04:11:04.253,2018-08-24T04:11:04.256,,04:11:04.253,04:11:04,1,750,115,-635,00:00:12,12.246,1
pert-josh,M5@bmm,5,288,6533,1,567,NULL,1246696,1246696,1246696,1246701,LIMIT,BUY,1,240,2018-08-24T04:11:04.284,2018-08-24T04:11:08.630,,04:11:04.284,04:11:04,0,750,#N/A,#N/A,00:00:12,12.277,1
pert-josh,M4@bmm,4,288,6533,1,567,NULL,1246697,1246697,1246697,1246699,LIMIT,BUY,1,255,2018-08-24T04:11:06.256,2018-08-24T04:11:08.434,,04:11:06.256,04:11:06,0,750,#N/A,#N/A,00:00:14,14.249,1
pert-josh,M2@bmm,2,288,6533,1,567,NULL,1246698,1246698,1246698,0,LIMIT,SELL,1,5,2018-08-24T04:11:08.426,2018-08-24T04:11:08.434,,04:11:08.426,04:11:08,0,750,#N/A,#N/A,00:00:16,16.419,-1
pert-josh,M2@bmm,2,288,6533,1,567,NULL,1246699,1246698,1246698,1246697,LIMIT,SELL,1,255,2018-08-24T04:11:08.431,2018-08-24T04:11:08.434,,04:11:08.431,04:11:08,1,750,255,-495,00:00:16,16.424,-1
pert-josh,M8@bmm,8,288,6533,1,567,NULL,1246700,1246700,1246700,0,LIMIT,SELL,1,140,2018-08-24T04:11:08.622,2018-08-24T04:11:08.630,,04:11:08.622,04:11:08,0,750,#N/A,#N/A,00:00:17,16.615,-1
