,hr,time
0,67.0742,0.0
2,57.5469,1.0
4,24.2846,2.0
6,24.2846,3.0
8,51.7663,4.0
10,70.5254,5.0
12,138.173,6.0
14,78.5654,7.0
16,73.96300000000001,8.0
18,77.4205,9.0
20,74.4669,10.0
22,74.328,11.0
24,76.5893,12.0
26,76.9911,13.0
28,82.214,14.0
30,75.0514,15.0
32,77.7251,16.0
34,75.6485,17.0
36,90.6367,18.0
38,87.1035,19.0
40,51.8183,20.0
42,77.2255,21.0
44,80.4188,22.0
46,79.0568,23.0
48,78.5064,24.0
50,77.2412,25.0
52,85.2318,26.0
54,64.1405,27.0
56,76.8647,28.0
58,77.0807,29.0
60,90.3193,30.0
62,66.1452,31.0
64,76.5696,32.0
66,76.5696,33.0
68,93.848,34.0
70,132.143,35.0
72,140.16899999999998,36.0
74,134.60399999999998,37.0
76,106.31299999999999,38.0
78,94.7328,39.0
80,103.37799999999999,40.0
82,79.3755,41.0
84,87.6777,42.0
86,81.6029,43.0
88,77.2189,44.0
90,76.1685,45.0
92,78.0271,46.0
94,105.81,47.0
96,91.6903,48.0
98,63.5437,49.0
100,77.2616,50.0
102,85.2771,51.0
104,61.5427,52.0
106,71.2128,53.0
108,75.6471,54.0
110,76.2857,55.0
112,54.0779,56.0
114,46.1525,57.0
116,56.6321,58.0
118,65.2643,59.0
120,68.003,60.0
122,65.8387,61.0
124,65.7717,62.0
126,68.565,63.0
128,66.4539,64.0
130,68.0198,65.0
132,70.5084,66.0
134,68.7051,67.0
136,69.4683,68.0
138,72.1127,69.0
140,83.5451,70.0
142,83.5451,71.0
144,65.7471,72.0
146,69.7,73.0
148,64.32,74.0
150,65.6726,75.0
152,65.8419,76.0
154,67.5127,77.0
156,66.0817,78.0
158,66.0828,79.0
160,69.128,80.0
162,68.7795,81.0
164,66.0192,82.0
166,64.9344,83.0
168,65.5417,84.0
170,64.4203,85.0
172,62.8335,86.0
174,63.9803,87.0
176,63.8926,88.0
178,61.1688,89.0
180,60.869,90.0
182,64.0271,91.0
184,62.657,92.0
186,62.657,93.0
188,67.536,94.0
190,62.1783,95.0
