,Unnamed: 0,ID,volume,earning,holding,session
1,0,M1,39.0,24145,6,11
2,1,M2,17.0,27550,1,11
3,2,M3,44.0,25700,24,11
4,3,M4,26.0,22165,18,11
5,4,M5,62.0,21770,18,11
6,5,M6,61.0,24640,43,11
7,6,M7,77.0,21670,14,11
8,7,M8,142.0,29160,4,11
