,hr,time
596,92.6155,0.0
598,90.9704,1.0
600,92.4326,2.0
602,91.4347,3.0
604,92.5616,4.0
606,94.8601,5.0
608,95.8013,6.0
610,96.2136,7.0
612,96.1258,8.0
614,96.4367,9.0
616,96.0,10.0
618,97.1202,11.0
620,97.1082,12.0
622,96.9303,13.0
624,96.6554,14.0
626,97.3898,15.0
628,97.4589,16.0
630,99.6497,17.0
632,98.8065,18.0
634,98.2822,19.0
636,95.1038,20.0
638,95.823,21.0
640,96.2227,22.0
642,96.1179,23.0
644,98.4695,24.0
646,99.3118,25.0
648,99.8725,26.0
650,101.196,27.0
652,102.47200000000001,28.0
654,103.572,29.0
656,100.066,30.0
658,97.6459,31.0
660,96.6038,32.0
662,95.7584,33.0
664,93.9059,34.0
666,96.6408,35.0
668,97.3966,36.0
670,97.3659,37.0
672,101.36399999999999,38.0
674,100.25,39.0
676,98.59899999999999,40.0
678,95.0347,41.0
680,95.97,42.0
682,95.2543,43.0
684,95.0113,44.0
686,95.3241,45.0
688,94.8476,46.0
690,94.5857,47.0
692,94.0758,48.0
694,94.6785,49.0
696,92.9661,50.0
698,94.4272,51.0
700,95.7009,52.0
702,96.6015,53.0
704,94.4449,54.0
706,94.9586,55.0
708,93.8058,56.0
710,91.8416,57.0
712,92.9939,58.0
714,94.2331,59.0
716,96.0265,60.0
718,95.5037,61.0
720,94.4821,62.0
722,94.2855,63.0
724,96.2541,64.0
726,94.7989,65.0
728,96.7381,66.0
730,97.8443,67.0
732,100.491,68.0
734,103.09700000000001,69.0
736,106.425,70.0
738,106.425,71.0
740,102.271,72.0
742,94.2757,73.0
744,95.1804,74.0
746,94.1685,75.0
748,95.0712,76.0
750,96.6028,77.0
752,98.75200000000001,78.0
754,97.22399999999999,79.0
756,99.0749,80.0
758,97.6074,81.0
760,97.7721,82.0
762,96.7456,83.0
764,95.389,84.0
766,94.4868,85.0
768,94.42200000000001,86.0
770,93.1206,87.0
772,92.8665,88.0
774,93.3911,89.0
776,94.15100000000001,90.0
778,95.7326,91.0
780,92.6437,92.0
782,91.9581,93.0
784,89.7976,94.0
786,92.2193,95.0
788,92.2729,96.0
790,93.4294,97.0
792,92.9498,98.0
794,93.9476,99.0
796,93.961,100.0
798,90.3643,101.0
800,90.2036,102.0
802,92.1106,103.0
804,91.1968,104.0
806,93.494,105.0
808,93.3189,106.0
810,93.3189,107.0
812,91.9529,108.0
814,92.72200000000001,109.0
816,92.4561,110.0
818,93.3574,111.0
820,95.0711,112.0
822,103.648,113.0
824,103.275,114.0
826,104.54700000000001,115.0
828,105.833,116.0
830,105.76299999999999,117.0
832,105.491,118.0
834,97.8942,119.0
836,102.257,120.0
838,104.49,121.0
840,94.5096,122.0
842,99.2271,123.0
844,96.8217,124.0
846,97.8396,125.0
848,95.8458,126.0
850,97.1927,127.0
852,100.662,128.0
854,102.90100000000001,129.0
856,91.0977,130.0
858,95.8291,131.0
860,94.0832,132.0
862,94.0741,133.0
864,95.4418,134.0
866,95.1012,135.0
868,95.5971,136.0
870,96.7828,137.0
872,98.0502,138.0
874,93.2047,139.0
876,98.39399999999999,140.0
878,99.443,141.0
880,93.5453,142.0
882,95.8584,143.0
884,95.4146,144.0
886,94.4485,145.0
888,98.4682,146.0
890,94.7846,147.0
892,96.617,148.0
894,96.3182,149.0
896,93.7426,150.0
898,94.6117,151.0
900,94.8914,152.0
902,93.9176,153.0
904,91.9039,154.0
906,91.9948,155.0
908,90.7211,156.0
910,92.65299999999999,157.0
912,92.7289,158.0
914,92.5331,159.0
916,90.7331,160.0
918,92.3122,161.0
920,90.2158,162.0
922,91.7878,163.0
924,91.7878,164.0
926,91.7878,165.0
928,91.7878,166.0
930,104.618,167.0
932,110.194,168.0
934,106.914,169.0
936,94.2127,170.0
938,99.3771,171.0
940,107.25299999999999,172.0
942,95.7446,173.0
944,97.1209,174.0
946,94.7056,175.0
948,94.3806,176.0
950,92.5717,177.0
952,92.9257,178.0
954,91.3081,179.0
956,88.4335,180.0
958,87.0647,181.0
960,85.0338,182.0
962,89.5046,183.0
964,89.3155,184.0
966,90.4563,185.0
968,89.9712,186.0
970,91.4495,187.0
972,92.2707,188.0
974,91.6056,189.0
976,91.1913,190.0
978,92.19200000000001,191.0
980,99.2183,192.0
982,100.55799999999999,193.0
984,105.411,194.0
986,104.19,195.0
988,101.48899999999999,196.0
990,101.48899999999999,197.0
992,96.9663,198.0
994,93.0389,199.0
996,93.3759,200.0
998,92.8631,201.0
1000,90.0397,202.0
1002,90.2078,203.0
1004,88.5847,204.0
1006,87.5891,205.0
1008,86.4735,206.0
1010,82.7406,207.0
1012,83.3316,208.0
1014,83.3891,209.0
1016,82.5738,210.0
1018,83.1013,211.0
1020,84.2651,212.0
1022,86.89299999999999,213.0
