,Unnamed: 0,Unnamed: 0.1,account,email,owner_x_x,marketplace,session,period,market,target,order_x_x,original,supplier,consumer_x,type,side,units,price,createdDate,lastModifiedDate,16. just time,17. just second,Unnamed: 20,trade_x_x,fair value,trade price,mispricing,time mins,time secs,buy/sell_x_x,owner_y,order_y,consumer_y,trade_y,buy/sell_y,owner_x_y,order_x_y,trade_x_y,buy/sell_x_y,mispricing_1_v2,mispricing_2_v2,mispricing_3_v2,mispricing_4_v2,mispricing_5_v2,mispricing_6_v2,mispricing_7_v2,mispricing_8_v2,s1 holding_v2,s2 holding_v2,s3 holding_v2,s4 holding_v2,s5 holding_v2,s6 holding_v2,s7 holding_v2,s8 holding_v2,s1 cash_v2,s2 cash_v2,s3 cash_v2,s4 cash_v2,s5 cash_v2,s6 cash_v2,s7 cash_v2,s8 cash_v2,Best Price,Asset Value_market_v2_S1,Asset Value_market_v2_S2,Asset Value_market_v2_S3,Asset Value_market_v2_S4,Asset Value_market_v2_S5,Asset Value_market_v2_S6,Asset Value_market_v2_S7,Asset Value_market_v2_S8,tradetime_x,ask,bid,spread
0,0,0,pert-josh,M3@bmm,3,433,8097,1,814,,2516846,2516846,2516846,,LIMIT,SELL,2,800,2019-03-06T03:17:06.469,2019-03-06T03:17:06.472,,03:17:06.469,03:17:06.469,0,750,,,00:00:00,0.0,-1,,,,,,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,640.0,22800.0,23680.0,22800.0,23680.0,28800.0,23680.0,22800.0,23680.0,0.0,800.0,,
1,1,1,pert-josh,M5@bmm,5,433,8097,1,814,,2516847,2516847,2516847,2516850.0,LIMIT,SELL,1,640,2019-03-06T03:17:10.775,2019-03-06T03:17:18.349,,03:17:10.775,03:17:10.775,0,750,,,00:00:04,4.306,-1,1.0,2516850.0,2516847.0,1.0,1.0,,,,,,,,,,,,,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,10000.0,16000.0,10000.0,16000.0,16000.0,16000.0,10000.0,16000.0,640.0,22800.0,23680.0,22800.0,23680.0,28800.0,23680.0,22800.0,23680.0,4.306,640.0,,
2,2,2,pert-josh,M1@bmm,1,433,8097,1,814,,2516850,2516849,2516849,2516847.0,LIMIT,BUY,1,640,2019-03-06T03:17:18.341,2019-03-06T03:17:18.349,,03:17:18.341,03:17:18.341,1,750,640.0,-110.0,00:00:12,11.872,1,,,,,,5.0,2516847.0,0.0,-1.0,-110.0,,,,-110.0,,,,21.0,12.0,20.0,12.0,19.0,12.0,20.0,12.0,9360.0,16000.0,10000.0,16000.0,16640.0,16000.0,10000.0,16000.0,640.0,22800.0,23680.0,22800.0,23680.0,28800.0,23680.0,22800.0,23680.0,11.872,640.0,745.0,-105.0
3,3,3,pert-josh,M1@bmm,1,433,8097,1,814,,2516851,2516849,2516849,2516853.0,LIMIT,BUY,1,745,2019-03-06T03:17:18.335,2019-03-06T03:17:18.590,,03:17:18.335,03:17:18.335,0,750,,,00:00:12,11.866,1,5.0,2516853.0,2516851.0,1.0,-1.0,,,,,,,,,,,,,21.0,12.0,20.0,12.0,19.0,12.0,20.0,12.0,9360.0,16000.0,10000.0,16000.0,16640.0,16000.0,10000.0,16000.0,745.0,25005.0,24940.0,24900.0,24940.0,30795.0,24940.0,24900.0,24940.0,11.866,640.0,745.0,-105.0
4,4,4,pert-josh,M5@bmm,5,433,8097,1,814,,2516853,2516852,2516852,2516851.0,LIMIT,SELL,1,745,2019-03-06T03:17:18.585,2019-03-06T03:17:18.591,,03:17:18.585,03:17:18.585,1,750,745.0,-5.0,00:00:12,12.116,-1,,,,,,1.0,2516851.0,0.0,1.0,-5.0,,,,-5.0,,,,22.0,12.0,20.0,12.0,18.0,12.0,20.0,12.0,8615.0,16000.0,10000.0,16000.0,17385.0,16000.0,10000.0,16000.0,745.0,25005.0,24940.0,24900.0,24940.0,30795.0,24940.0,24900.0,24940.0,12.116,800.0,745.0,55.0
5,5,5,pert-josh,M6@bmm,6,433,8097,1,814,,2516854,2516854,2516854,2516856.0,LIMIT,SELL,1,615,2019-03-06T03:17:20.142,2019-03-06T03:17:20.696,,03:17:20.142,03:17:20.142,0,750,,,00:00:14,13.673,-1,1.0,2516856.0,2516854.0,1.0,1.0,,,,,,,,,,,,,22.0,12.0,20.0,12.0,18.0,12.0,20.0,12.0,8615.0,16000.0,10000.0,16000.0,17385.0,16000.0,10000.0,16000.0,615.0,22145.0,23380.0,22300.0,23380.0,28455.0,23380.0,22300.0,23380.0,13.673,615.0,,
6,6,6,pert-josh,M1@bmm,1,433,8097,1,814,,2516856,2516855,2516855,2516854.0,LIMIT,BUY,1,615,2019-03-06T03:17:20.686,2019-03-06T03:17:20.696,,03:17:20.686,03:17:20.686,1,750,615.0,-135.0,00:00:14,14.217,1,,,,,,6.0,2516854.0,0.0,-1.0,-135.0,,,,,-135.0,,,23.0,12.0,20.0,12.0,18.0,11.0,20.0,12.0,8000.0,16000.0,10000.0,16000.0,17385.0,16615.0,10000.0,16000.0,615.0,22145.0,23380.0,22300.0,23380.0,28455.0,23380.0,22300.0,23380.0,14.217,615.0,745.0,-130.0
7,7,7,pert-josh,M1@bmm,1,433,8097,1,814,,2516857,2516855,2516855,2516864.0,LIMIT,BUY,1,745,2019-03-06T03:17:20.678,2019-03-06T03:17:28.630,,03:17:20.678,03:17:20.678,0,750,,,00:00:14,14.209000000000001,1,2.0,2516864.0,2516857.0,1.0,-1.0,,,,,,,,,,,,,23.0,12.0,20.0,12.0,18.0,11.0,20.0,12.0,8000.0,16000.0,10000.0,16000.0,17385.0,16615.0,10000.0,16000.0,745.0,25135.0,24940.0,24900.0,24940.0,30795.0,24810.0,24900.0,24940.0,14.209000000000001,615.0,745.0,-130.0
8,8,8,pert-josh,M1@bmm,1,433,8097,1,814,,2516861,2516861,2516861,2516909.0,LIMIT,BUY,2,745,2019-03-06T03:17:21.821,2019-03-06T03:18:07.902,,03:17:21.821,03:17:21.821,0,750,,,00:00:15,15.352,1,3.0,2516909.0,2516861.0,1.0,-1.0,,,,,,,,,,,,,23.0,12.0,20.0,12.0,18.0,11.0,20.0,12.0,8000.0,16000.0,10000.0,16000.0,17385.0,16615.0,10000.0,16000.0,745.0,25135.0,24940.0,24900.0,24940.0,30795.0,24810.0,24900.0,24940.0,15.352,800.0,745.0,55.0
9,9,9,pert-josh,M3@bmm,3,433,8097,1,814,,2516862,2516862,2516862,,LIMIT,BUY,2,595,2019-03-06T03:17:23.103,2019-03-06T03:17:23.107,,03:17:23.103,03:17:23.103,0,750,,,00:00:17,16.634,1,,,,,,,,,,,,,,,,,,23.0,12.0,20.0,12.0,18.0,11.0,20.0,12.0,8000.0,16000.0,10000.0,16000.0,17385.0,16615.0,10000.0,16000.0,745.0,25135.0,24940.0,24900.0,24940.0,30795.0,24810.0,24900.0,24940.0,16.634,800.0,745.0,55.0
