,hr,time
0,117.25200000000001,0.0
2,70.4874,1.0
4,106.471,2.0
6,109.10600000000001,3.0
8,71.2015,4.0
10,109.39399999999999,5.0
12,68.9882,6.0
14,116.454,7.0
16,82.5147,8.0
18,97.6465,9.0
20,110.912,10.0
22,67.9966,11.0
24,117.37700000000001,12.0
26,119.412,13.0
28,112.89299999999999,14.0
30,102.742,15.0
32,107.20700000000001,16.0
34,109.042,17.0
36,108.436,18.0
38,116.056,19.0
40,118.916,20.0
42,120.13,21.0
44,120.161,22.0
46,120.595,23.0
48,116.178,24.0
50,119.134,25.0
52,118.965,26.0
54,113.984,27.0
56,113.984,28.0
58,118.23299999999999,29.0
60,119.29700000000001,30.0
62,122.522,31.0
64,118.95200000000001,32.0
66,113.081,33.0
68,115.65100000000001,34.0
70,112.48700000000001,35.0
72,112.006,36.0
74,115.281,37.0
76,116.066,38.0
78,117.569,39.0
80,118.134,40.0
82,112.624,41.0
84,113.93299999999999,42.0
86,114.83200000000001,43.0
88,110.64200000000001,44.0
90,113.615,45.0
92,112.43700000000001,46.0
94,109.221,47.0
96,113.10799999999999,48.0
98,113.15799999999999,49.0
100,108.73700000000001,50.0
102,108.73700000000001,51.0
104,115.12,52.0
106,113.556,53.0
108,116.556,54.0
110,112.419,55.0
112,108.17200000000001,56.0
114,111.459,57.0
116,107.64399999999999,58.0
118,106.22200000000001,59.0
120,110.171,60.0
122,107.367,61.0
124,107.73299999999999,62.0
126,109.708,63.0
128,111.195,64.0
130,113.09200000000001,65.0
132,111.014,66.0
134,111.014,67.0
136,107.509,68.0
138,107.76899999999999,69.0
140,107.58,70.0
142,104.727,71.0
144,108.648,72.0
146,100.359,73.0
148,100.359,74.0
150,105.25299999999999,75.0
152,105.721,76.0
154,103.04700000000001,77.0
156,106.301,78.0
158,111.10799999999999,79.0
160,106.899,80.0
162,108.152,81.0
164,105.469,82.0
166,98.3798,83.0
168,100.61,84.0
170,102.671,85.0
172,98.9184,86.0
174,95.179,87.0
176,100.845,88.0
178,99.7491,89.0
180,99.7491,90.0
182,102.90100000000001,91.0
184,100.20100000000001,92.0
186,103.67,93.0
188,108.984,94.0
190,105.93700000000001,95.0
192,105.355,96.0
194,106.26899999999999,97.0
196,111.352,98.0
198,109.17200000000001,99.0
200,110.182,100.0
202,105.721,101.0
204,104.105,102.0
206,104.821,103.0
208,98.9502,104.0
210,100.70200000000001,105.0
212,102.41,106.0
214,94.2328,107.0
216,94.2328,108.0
218,71.6773,109.0
220,99.0595,110.0
222,99.4367,111.0
224,102.26,112.0
226,99.3648,113.0
228,98.2088,114.0
230,103.709,115.0
232,100.301,116.0
234,100.93799999999999,117.0
236,105.069,118.0
238,116.53200000000001,119.0
240,101.118,120.0
242,97.684,121.0
244,97.3687,122.0
246,101.264,123.0
248,97.9581,124.0
250,97.9581,125.0
252,79.2759,126.0
254,99.8659,127.0
256,95.4429,128.0
258,97.0147,129.0
260,103.771,130.0
262,101.929,131.0
264,99.8478,132.0
266,101.802,133.0
268,97.7524,134.0
270,93.0909,135.0
272,96.7532,136.0
274,98.7992,137.0
276,95.8242,138.0
278,101.211,139.0
280,108.55,140.0
282,111.07600000000001,141.0
284,113.568,142.0
286,109.831,143.0
288,114.13799999999999,144.0
290,111.26899999999999,145.0
292,106.24,146.0
294,108.544,147.0
296,105.23299999999999,148.0
298,98.5269,149.0
300,103.682,150.0
302,106.046,151.0
304,100.177,152.0
306,97.6619,153.0
308,101.76,154.0
310,100.397,155.0
312,96.06200000000001,156.0
314,101.715,157.0
316,100.071,158.0
318,94.81299999999999,159.0
320,96.7429,160.0
322,96.7429,161.0
324,99.5174,162.0
326,100.12299999999999,163.0
328,105.104,164.0
330,101.833,165.0
332,98.1917,166.0
334,104.035,167.0
336,105.73700000000001,168.0
338,101.676,169.0
340,102.35700000000001,170.0
342,105.0,171.0
344,101.64,172.0
346,94.9746,173.0
348,94.9746,174.0
350,101.35,175.0
352,99.9654,176.0
354,105.34100000000001,177.0
356,104.948,178.0
358,101.661,179.0
360,106.785,180.0
362,108.238,181.0
364,102.648,182.0
366,105.33,183.0
368,110.5,184.0
370,109.432,185.0
372,111.07600000000001,186.0
374,113.639,187.0
376,108.78299999999999,188.0
378,110.48899999999999,189.0
