hr
89.0435
89.0435
89.7167
89.5882
89.2241
89.6398
90.4037
90.1352
89.1863
89.328
90.9592
91.9898
92.1622
93.2025
94.5
95.596
95.8738
95.463
95.3359
96.2011
96.9085
97.9719
99.5386
100
99.0017
95.8519
97.517
101.289
101.029
101.399
102.863
103.754
103.406
102.928
102.499
101.949
101.728
101.906
101.364
100.383
100.065
100.696
101.54
101.708
102.12
103.356
105.162
106.243
106.045
105.381
104.802
104.601
104.176
103.784
103.29
102.37
102.14
102.539
102.518
101.673
101.053
101.805
103.153
103.742
103.657
103.462
102.716
102.243
102.246
101.83
101.477
101.206
100.736
100.584
100.242
99.2573
98.5191
98.3747
98.7796
99.0968
98.8077
98.3813
97.9771
97.391
96.8378
96.0084
95.0851
94.64
94.3285
93.332
92.1579
91.906
92.0597
91.8973
90.9105
89.849
89.7643
90.6894
92.1137
92.4168
91.5016
90.4403
90.6704
90.448
88.6871
87.2244
87.4089
89.4683
91.8008
93.8349
94.1938
93.101
91.8004
90.3799
89.373
87.4479
85.1522
83.9651
84.256
85.5964
86.4469
86.034
84.8858
84.581
85.2669
86.2665
86.3473
85.6166
85.0617
85.3006
86.1907
87.2067
86.3507
84.4432
83.6594
83.7634
83.9258
83.3538
82.3612
82.3136
83.5332
84.9757
85.5838
85.6057
86.2435
87.5817
88.5303
88.0899
87.0596
85.9014
86.0427
87.068
87.2047
86.6961
86.5784
86.9184
86.3089
85.4842
85.9251
87.6195
88.6617
88.3772
88.2496
88.6628
90.2479
90.86
89.8513
89.6297
89.1137
87.9902
86.9422
84.667
83.1096
83.458
84.2928
83.8594
82.7188
82.5806
84.1512
85.3598
84.7322
84.6643
86.1221
87.9258
88.607
88.0087
86.4864
85.3371
85.1538
84.3739
83.049
82.4113
82.5501
82.5501
82.5501
82.5501
90.0299
91.5385
92.2576
92.2152
91.3008
90.3561
90.0449
90.4453
89.4609
87.4849
86.6991
87.3692
88.8385
89.4603
89.265
88.6432
88.4503
88.7054
88.7861
88.0442
86.9906
86.5644
86.7376
87.0255
86.4245
85.1429
85.3772
86.0597
85.6133
85.1306
84.6688
84.6744
85.2154
83.8483
82.5026
83.3593
85.4389
86.3249
85.3606
85.097
84.9904
84.7582
84.4347
83.188
82.4096
82.9849
83.9589
84.284
84.1143
84.9298
86.4586
86.7803
85.5808
84.4408
83.8545
83.8626
84.2894
84.6281
85.4118
87.2809
88.9645
89.3731
88.6334
87.3092
87.3092
87.3092
87.3092
87.3092
87.3092
87.3092
87.3092
78.875
